package,requirement,audit_version,main_use
Seurat,required,5.5.1,Seurat v5 spatial and single-cell workflows
SeuratObject,required,5.4.0,Seurat assays layers identities and reductions
STutility,required_for_STUtility_loader,1.1.1,Space Ranger spatial-data loading
Matrix,required,1.7-6,Sparse matrix operations
ggplot2,required,4.0.3,Plotting
patchwork,required,1.3.2,Multi-panel figures
harmony,required,2.0.5,Batch integration
dplyr,required,1.2.1,Metadata and table manipulation
tidyr,required_for_developmental_trends,1.3.2,Table reshaping
edgeR,required_for_pseudobulk,4.10.1,TMM normalization and log2 CPM
monocle3,required_for_pseudotime,1.4.27,Pseudotime and trajectory analysis
shiny,required_for_interactive_monocle_root_selection,1.14.0,Interactive Monocle root-principal-node selection
SingleCellExperiment,required,1.34.0,Single-cell data exchange
SummarizedExperiment,required,1.42.0,Assay and metadata access
S4Vectors,required_for_SPOTlight_mapping,0.50.1,Bioconductor metadata containers
igraph,required_for_monocle3,2.3.3,Principal graph handling
scDblFinder,required_for_scRNA_reference,1.26.7,Doublet detection
glmGamPoi,required_for_scRNA_reference,1.24.0,SCTransform v2 fitting
SpatialExperiment,required_for_SPOTlight_mapping,1.22.0,Spatial experiment container
scuttle,required_for_SPOTlight_mapping,1.22.0,Reference log normalization
scran,required_for_SPOTlight_mapping,1.40.0,HVG and marker scoring
SPOTlight,required_for_deconvolution,1.16.0,Cell-type deconvolution and scatter-pie plots
SCINA,required_for_SCINA_annotation,1.2.0,Marker-based cell-type annotation
scales,required_for_SPOTlight_plots,1.4.0,Continuous color-scale bounds
ggrepel,optional,0.9.8,Non-overlapping labels
GO.db,optional,NOT_INSTALLED,GO term descriptions
AnnotationDbi,optional_with_GO.db,1.74.0,GO database querying
