"","x"
"1","Zm00001eb026490"
"2","Zm00001eb055450"
"3","Zm00001eb053570"
"4","Zm00001eb004770"
"5","Zm00001eb036750"
"6","Zm00001eb013610"
"7","Zm00001eb027880"
"8","Zm00001eb022970"
"9","Zm00001eb048840"
"10","Zm00001eb004570"
"11","Zm00001eb058260"
"12","Zm00001eb035520"
"13","Zm00001eb037360"
"14","Zm00001eb054430"
"15","Zm00001eb033910"
"16","Zm00001eb050460"
"17","Zm00001eb030870"
"18","Zm00001eb033480"
"19","Zm00001eb017780"
"20","Zm00001eb040490"
"21","Zm00001eb009290"
"22","Zm00001eb016540"
"23","Zm00001eb058570"
"24","Zm00001eb043900"
"25","Zm00001eb065340"
"26","Zm00001eb052950"
"27","Zm00001eb059800"
"28","Zm00001eb059560"
"29","Zm00001eb038130"
"30","Zm00001eb063280"
"31","Zm00001eb057150"
"32","Zm00001eb013450"
"33","Zm00001eb014970"
"34","Zm00001eb023690"
"35","Zm00001eb005010"
"36","Zm00001eb021900"
"37","Zm00001eb059210"
"38","Zm00001eb048230"
"39","Zm00001eb042590"
"40","Zm00001eb036320"
"41","Zm00001eb064390"
"42","Zm00001eb000190"
"43","Zm00001eb019130"
"44","Zm00001eb020150"
"45","Zm00001eb024550"
"46","Zm00001eb045900"
"47","Zm00001eb013060"
"48","Zm00001eb055120"
"49","Zm00001eb062910"
"50","Zm00001eb000600"
"51","Zm00001eb020370"
"52","Zm00001eb019210"
"53","Zm00001eb044090"
"54","Zm00001eb019470"
"55","Zm00001eb051310"
"56","Zm00001eb063610"
"57","Zm00001eb003890"
"58","Zm00001eb064850"
"59","Zm00001eb061570"
"60","Zm00001eb060260"
"61","Zm00001eb057920"
"62","Zm00001eb042030"
"63","Zm00001eb008620"
"64","Zm00001eb001630"
"65","Zm00001eb016850"
"66","Zm00001eb018830"
"67","Zm00001eb035990"
"68","Zm00001eb042260"
"69","Zm00001eb032280"
"70","Zm00001eb020330"
"71","Zm00001eb062310"
"72","Zm00001eb017430"
"73","Zm00001eb008850"
"74","Zm00001eb021880"
"75","Zm00001eb003480"
"76","Zm00001eb056620"
"77","Zm00001eb063090"
"78","Zm00001eb065550"
"79","Zm00001eb052270"
"80","Zm00001eb054120"
"81","Zm00001eb049300"
"82","Zm00001eb043730"
"83","Zm00001eb001460"
"84","Zm00001eb064340"
"85","Zm00001eb059910"
"86","Zm00001eb028980"
"87","Zm00001eb012750"
"88","Zm00001eb023080"
"89","Zm00001eb035760"
"90","Zm00001eb050140"
"91","Zm00001eb018090"
"92","Zm00001eb014840"
"93","Zm00001eb035370"
"94","Zm00001eb057840"
"95","Zm00001eb061180"
"96","Zm00001eb037280"
"97","Zm00001eb023010"
"98","Zm00001eb010530"
"99","Zm00001eb042100"
"100","Zm00001eb058120"
