"sample_id","domains","n_spots","sample_domain"
"UL01","SAM",5,"UL01_SAM"
"UL02","SAM",3,"UL02_SAM"
"UL04","SAM",3,"UL04_SAM"
"VR01","SAM",9,"VR01_SAM"
"VR02","SAM",4,"VR02_SAM"
"VR03","SAM",7,"VR03_SAM"
"VR04","SAM",10,"VR04_SAM"
"DQ01","SAM",1,"DQ01_SAM"
"DQ02","SAM",4,"DQ02_SAM"
"DQ03","SAM",4,"DQ03_SAM"
"DQ04","SAM",3,"DQ04_SAM"
"DQ06","SAM",3,"DQ06_SAM"
"DQ07","SAM",6,"DQ07_SAM"
"DQ08","SAM",2,"DQ08_SAM"
"UL01","P1_P2",33,"UL01_P1_P2"
"UL02","P1_P2",15,"UL02_P1_P2"
"UL04","P1_P2",12,"UL04_P1_P2"
"VR01","P1_P2",60,"VR01_P1_P2"
"VR02","P1_P2",44,"VR02_P1_P2"
"VR03","P1_P2",56,"VR03_P1_P2"
"VR04","P1_P2",48,"VR04_P1_P2"
"DQ01","P1_P2",30,"DQ01_P1_P2"
"DQ02","P1_P2",53,"DQ02_P1_P2"
"DQ03","P1_P2",41,"DQ03_P1_P2"
"DQ04","P1_P2",40,"DQ04_P1_P2"
"DQ06","P1_P2",45,"DQ06_P1_P2"
"DQ07","P1_P2",69,"DQ07_P1_P2"
"DQ08","P1_P2",33,"DQ08_P1_P2"
"UL01","P3",46,"UL01_P3"
"UL02","P3",19,"UL02_P3"
"UL04","P3",22,"UL04_P3"
"VR01","P3",75,"VR01_P3"
"VR02","P3",73,"VR02_P3"
"VR03","P3",63,"VR03_P3"
"VR04","P3",86,"VR04_P3"
"DQ01","P3",64,"DQ01_P3"
"DQ02","P3",76,"DQ02_P3"
"DQ03","P3",65,"DQ03_P3"
"DQ04","P3",77,"DQ04_P3"
"DQ06","P3",62,"DQ06_P3"
"DQ07","P3",87,"DQ07_P3"
"DQ08","P3",48,"DQ08_P3"
"UL01","P4",79,"UL01_P4"
"UL02","P4",51,"UL02_P4"
"UL04","P4",51,"UL04_P4"
"VR01","P4",191,"VR01_P4"
"VR02","P4",148,"VR02_P4"
"VR03","P4",148,"VR03_P4"
"VR04","P4",183,"VR04_P4"
"DQ01","P4",135,"DQ01_P4"
"DQ02","P4",133,"DQ02_P4"
"DQ03","P4",89,"DQ03_P4"
"DQ04","P4",120,"DQ04_P4"
"DQ06","P4",152,"DQ06_P4"
"DQ07","P4",164,"DQ07_P4"
"DQ08","P4",115,"DQ08_P4"
"UL01","P5",170,"UL01_P5"
"UL02","P5",126,"UL02_P5"
"UL04","P5",99,"UL04_P5"
"VR01","P5",356,"VR01_P5"
"VR02","P5",245,"VR02_P5"
"VR03","P5",246,"VR03_P5"
"VR04","P5",279,"VR04_P5"
"DQ01","P5",217,"DQ01_P5"
"DQ02","P5",228,"DQ02_P5"
"DQ03","P5",186,"DQ03_P5"
"DQ04","P5",216,"DQ04_P5"
"DQ06","P5",228,"DQ06_P5"
"DQ07","P5",259,"DQ07_P5"
"DQ08","P5",272,"DQ08_P5"
"UL01","coleoptile",718,"UL01_coleoptile"
"UL02","coleoptile",566,"UL02_coleoptile"
"UL04","coleoptile",597,"UL04_coleoptile"
"VR01","coleoptile",1090,"VR01_coleoptile"
"VR02","coleoptile",901,"VR02_coleoptile"
"VR03","coleoptile",1083,"VR03_coleoptile"
"VR04","coleoptile",1161,"VR04_coleoptile"
"DQ01","coleoptile",904,"DQ01_coleoptile"
"DQ02","coleoptile",1068,"DQ02_coleoptile"
"DQ03","coleoptile",874,"DQ03_coleoptile"
"DQ04","coleoptile",970,"DQ04_coleoptile"
"DQ06","coleoptile",945,"DQ06_coleoptile"
"DQ07","coleoptile",1144,"DQ07_coleoptile"
"DQ08","coleoptile",1081,"DQ08_coleoptile"
"UL01","co_v",49,"UL01_co_v"
"UL02","co_v",31,"UL02_co_v"
"UL04","co_v",29,"UL04_co_v"
"VR01","co_v",57,"VR01_co_v"
"VR02","co_v",34,"VR02_co_v"
"VR03","co_v",38,"VR03_co_v"
"VR04","co_v",46,"VR04_co_v"
"DQ01","co_v",32,"DQ01_co_v"
"DQ02","co_v",45,"DQ02_co_v"
"DQ03","co_v",53,"DQ03_co_v"
"DQ04","co_v",47,"DQ04_co_v"
"DQ06","co_v",40,"DQ06_co_v"
"DQ07","co_v",55,"DQ07_co_v"
"DQ08","co_v",40,"DQ08_co_v"
