"sample_id","n_spots","median_detected_genes","median_total_umi","median_percent_mito","median_percent_pltd","max_percent_mito","max_percent_pltd"
"UL01",1100,8202,28618,0.0541916097628448,0,1.89287152637938,0.0833796553640912
"UL02",811,8098,28554,0.0285779606767261,0,0.3354681305276,0.0172562553925798
"UL04",813,6755,19987,0.108612574922563,0,0.788394828129928,0.909090909090909
"VR01",1838,6732.5,20994.5,0.015256113067308,0,0.171216588985066,0.0276625172890733
"VR02",1449,7252,22932,0.00703383273545755,0,0.11801730920535,0.00987947046038332
"VR03",1641,5592,15148,0.0197170601863262,0,0.234826589595376,0.0360295442262655
"VR04",1813,4953,12769,0.0123129963676661,0,3.74015748031496,0.170357751277683
"DQ01",1383,4637,11167,0.0300090027008102,0,0.263829038782869,0.04293688278231
"DQ02",1607,4819,11779,0.0368867576540022,0,0.588111741230834,0.0357653791130186
"DQ03",1312,4999,12005.5,0.0246302482598352,0,0.347606256912624,0.0221287895552113
"DQ04",1473,5048,12158,0.022740193291643,0,0.712758374910905,0.0186277553554797
"DQ06",1475,5654,14340,0.0169104591189651,0,0.702713253952762,0.33112582781457
"DQ07",1784,5123,11852,0.0129704507454122,0,0.857545117112505,0.0526315789473684
"DQ08",1591,5700,14087,0.0143348623853211,0,0.325732899022801,0.0417972831765935
