"cluster","domain","Count"
"0","SAM",0
"1","SAM",0
"2","SAM",0
"3","SAM",0
"4","SAM",0
"5","SAM",51
"6","SAM",0
"7","SAM",0
"8","SAM",0
"9","SAM",0
"10","SAM",0
"11","SAM",0
"12","SAM",0
"13","SAM",0
"14","SAM",11
"15","SAM",0
"16","SAM",0
"17","SAM",0
"18","SAM",0
"19","SAM",0
"20","SAM",0
"21","SAM",0
"22","SAM",0
"23","SAM",0
"24","SAM",2
"25","SAM",0
"26","SAM",0
"27","SAM",0
"28","SAM",0
"29","SAM",0
"30","SAM",0
"31","SAM",0
"32","SAM",0
"0","P1_P2",0
"1","P1_P2",0
"2","P1_P2",0
"3","P1_P2",0
"4","P1_P2",0
"5","P1_P2",463
"6","P1_P2",0
"7","P1_P2",0
"8","P1_P2",2
"9","P1_P2",0
"10","P1_P2",1
"11","P1_P2",0
"12","P1_P2",0
"13","P1_P2",0
"14","P1_P2",81
"15","P1_P2",0
"16","P1_P2",0
"17","P1_P2",0
"18","P1_P2",10
"19","P1_P2",0
"20","P1_P2",0
"21","P1_P2",0
"22","P1_P2",0
"23","P1_P2",1
"24","P1_P2",21
"25","P1_P2",0
"26","P1_P2",0
"27","P1_P2",0
"28","P1_P2",0
"29","P1_P2",0
"30","P1_P2",0
"31","P1_P2",0
"32","P1_P2",0
"0","P3",1
"1","P3",0
"2","P3",0
"3","P3",0
"4","P3",0
"5","P3",494
"6","P3",0
"7","P3",0
"8","P3",77
"9","P3",0
"10","P3",57
"11","P3",0
"12","P3",0
"13","P3",0
"14","P3",127
"15","P3",0
"16","P3",0
"17","P3",0
"18","P3",49
"19","P3",0
"20","P3",0
"21","P3",0
"22","P3",0
"23","P3",42
"24","P3",16
"25","P3",0
"26","P3",0
"27","P3",0
"28","P3",0
"29","P3",0
"30","P3",0
"31","P3",0
"32","P3",0
"0","P4",105
"1","P4",0
"2","P4",0
"3","P4",0
"4","P4",0
"5","P4",83
"6","P4",0
"7","P4",0
"8","P4",705
"9","P4",0
"10","P4",218
"11","P4",0
"12","P4",0
"13","P4",0
"14","P4",241
"15","P4",0
"16","P4",0
"17","P4",0
"18","P4",150
"19","P4",0
"20","P4",0
"21","P4",0
"22","P4",23
"23","P4",177
"24","P4",57
"25","P4",0
"26","P4",0
"27","P4",0
"28","P4",0
"29","P4",0
"30","P4",0
"31","P4",0
"32","P4",0
"0","P5",1322
"1","P5",1
"2","P5",0
"3","P5",0
"4","P5",0
"5","P5",2
"6","P5",1
"7","P5",0
"8","P5",90
"9","P5",0
"10","P5",558
"11","P5",0
"12","P5",14
"13","P5",3
"14","P5",139
"15","P5",200
"16","P5",0
"17","P5",0
"18","P5",245
"19","P5",0
"20","P5",2
"21","P5",0
"22","P5",338
"23","P5",122
"24","P5",90
"25","P5",0
"26","P5",0
"27","P5",0
"28","P5",0
"29","P5",0
"30","P5",0
"31","P5",0
"32","P5",0
"0","coleoptile",37
"1","coleoptile",1213
"2","coleoptile",1164
"3","coleoptile",1134
"4","coleoptile",1105
"5","coleoptile",0
"6","coleoptile",1042
"7","coleoptile",1035
"8","coleoptile",1
"9","coleoptile",869
"10","coleoptile",4
"11","coleoptile",799
"12","coleoptile",714
"13","coleoptile",715
"14","coleoptile",6
"15","coleoptile",354
"16","coleoptile",505
"17","coleoptile",435
"18","coleoptile",4
"19","coleoptile",398
"20","coleoptile",58
"21","coleoptile",386
"22","coleoptile",18
"23","coleoptile",1
"24","coleoptile",78
"25","coleoptile",60
"26","coleoptile",233
"27","coleoptile",212
"28","coleoptile",129
"29","coleoptile",126
"30","coleoptile",123
"31","coleoptile",81
"32","coleoptile",63
"0","co_v",0
"1","co_v",0
"2","co_v",7
"3","co_v",0
"4","co_v",0
"5","co_v",0
"6","co_v",0
"7","co_v",0
"8","co_v",0
"9","co_v",0
"10","co_v",4
"11","co_v",0
"12","co_v",0
"13","co_v",0
"14","co_v",0
"15","co_v",4
"16","co_v",0
"17","co_v",42
"18","co_v",0
"19","co_v",0
"20","co_v",334
"21","co_v",2
"22","co_v",1
"23","co_v",0
"24","co_v",9
"25","co_v",193
"26","co_v",0
"27","co_v",0
"28","co_v",0
"29","co_v",0
"30","co_v",0
"31","co_v",0
"32","co_v",0
