"cluster","spatial_pattern","supergroup"
"0","P5, most cell types except mature veins","leaf_meso"
"1","coleoptile, abaxial epidermis","co_epi_ab"
"2","coleoptile mesophyll at the polar axis between vein and epidermis","co_meso_polar"
"3","coleoptile cortex mesophyll at the equatorial axis","co_meso_core"
"4","coleoptile, abaxial epidermis","co_epi_ab"
"5","SAM-P4, almost all cells","SAM_P4"
"6","coleoptile cortex mesophyll at the equatorial axis","co_meso_core"
"7","coleoptile cortex mesophyll at the equatorial axis","co_meso_core"
"8","SAM-P4, almost all cells except mature veins","leaf_meso"
"9","coleoptile cortex mesophyll at the equatorial axis, uneven","co_meso_core"
"10","P3-P5, mostly near mature veins","leaf_vein"
"11","coleoptile mesophyll next to the abaxial epidermis","co_meso_ab"
"12","coleoptile cortex mesophyll at the equatorial axis, uneven","co_meso_core"
"13","coleoptile cortex mesophyll at the equatorial axis, uneven","co_meso_core"
"14","P1-P5, most cells, uneven","leaf_most"
"15","coleoptile, adaxial epidermis","co_epi_ad"
"16","coleoptile cortex mesophyll at the equatorial axis, uneven","co_meso_core"
"17","coleoptile cortex mesophyll surrounding veins","co_meso_nearvein"
"18","P4-P5 mesophyll, uneven and sample-dependent","sample_vari"
"19","coleoptile, abaxial epidermis","co_epi_ab"
"20","abaxial side of the coleoptile vein (phloem)","co_vein_ab"
"21","coleoptile mesophyll next to the abaxial epidermis","co_meso_ab"
"22","P4-P5, most mesophyll, uneven","leaf_most"
"23","P4, most mesophyll except veins","leaf_meso"
"24","mesophyll, sample-dependent","sample_vari"
"25","adaxial side of the coleoptile vein (xylem)","co_vein_ad"
"26","coleoptile cortex mesophyll at the equatorial axis, uneven","co_meso_core"
"27","coleoptile, abaxial epidermis","co_epi_ab"
"28","not spatially specific","sample_vari"
"29","not spatially specific","sample_vari"
"30","not spatially specific","sample_vari"
"31","not spatially specific","sample_vari"
"32","not spatially specific","sample_vari"
