"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C1","GO:0006886",20,800,104,13936,1.55872519215551e-06,0.000595433023403403,"GO:0006886",5.80723044545932
"C1","GO:1901800",7,800,14,13936,4.81353415341269e-06,0.000919385023301823,"GO:1901800",5.31753594239331
"C1","GO:0006888",8,800,22,13936,1.77022924710055e-05,0.0022540919079747,"GO:0006888",4.75197048826878
"C1","GO:0051603",7,800,22,13936,0.000159501217592564,0.0152323662800898,"GO:0051603",3.79723599729825
"C1","GO:0000956",4,800,8,13936,0.00062632465225711,0.0393822549913698,"GO:0000956",3.20320049404909
"C1","GO:0000209",8,800,35,13936,0.000669983221480246,0.0393822549913698,"GO:0000209",3.17393607328393
"C1","GO:0051228",3,800,4,13936,0.000721664358480598,0.0393822549913698,"GO:0051228",3.14166474308443
"C1","GO:0006890",6,800,21,13936,0.000905082043997403,0.043217667600876,"GO:0006890",3.04331205102646
"C1","GO:0070534",4,800,10,13936,0.00171258836401225,0.0726898616725201,"GO:0070534",2.7663470110689
"C1","GO:0007264",5,800,18,13936,0.00281725677746771,0.0967189707350788,"GO:0007264",2.55017356765567
"C1","GO:0009961",2,800,2,13936,0.00329148329726708,0.0967189707350788,"GO:0009961",2.48260834440698
"C1","GO:0012501",2,800,2,13936,0.00329148329726708,0.0967189707350788,"GO:0012501",2.48260834440698
"C1","GO:0048768",2,800,2,13936,0.00329148329726708,0.0967189707350788,"GO:0048768",2.48260834440698
"C1","GO:0016973",3,800,7,13936,0.00554061013770884,0.141100871506985,"GO:0016973",2.25644240768137
"C1","GO:0043666",3,800,7,13936,0.00554061013770884,0.141100871506985,"GO:0043666",2.25644240768137
"C1","GO:0007017",6,800,30,13936,0.00637146684206888,0.152118770854394,"GO:0007017",2.19576057267553
"C1","GO:0006367",4,800,15,13936,0.00884397239707319,0.198729262098939,"GO:0006367",2.05335262156794
"C1","GO:0009073",2,800,3,13936,0.00949744347997131,0.201556856074947,"GO:0009073",2.02239328228597
"C1","GO:0000165",4,800,16,13936,0.0112650860014224,0.226487518554913,"GO:0000165",1.94826548837862
"C1","GO:0043248",4,800,17,13936,0.0140745196834276,0.268823325953467,"GO:0043248",1.85156641725078
"C1","GO:0070536",3,800,10,13936,0.0166883796145705,0.296335370962237,"GO:0070536",1.77758582980452
"C1","GO:0000338",2,800,4,13936,0.018273222601462,0.296335370962237,"GO:0000338",1.73818485524109
"C1","GO:0006474",2,800,4,13936,0.018273222601462,0.296335370962237,"GO:0006474",1.73818485524109
"C1","GO:0006465",4,800,19,13936,0.0209297728960721,0.296335370962237,"GO:0006465",1.67923548406063
"C1","GO:0043161",5,800,29,13936,0.0231880756259308,0.296335370962237,"GO:0043161",1.63473529188455
"C1","GO:0007034",4,800,20,13936,0.0250038021050995,0.296335370962237,"GO:0007034",1.60199394701941
"C1","GO:0006121",2,800,5,13936,0.0293040468891124,0.296335370962237,"GO:0006121",1.5330723994327
"C1","GO:0006605",2,800,5,13936,0.0293040468891124,0.296335370962237,"GO:0006605",1.5330723994327
"C1","GO:0042761",2,800,5,13936,0.0293040468891124,0.296335370962237,"GO:0042761",1.5330723994327
"C1","GO:0045048",2,800,5,13936,0.0293040468891124,0.296335370962237,"GO:0045048",1.5330723994327
"C1","GO:0046686",4,800,21,13936,0.0295226177910166,0.296335370962237,"GO:0046686",1.52984513594834
"C1","GO:0045893",5,800,31,13936,0.0302102921226364,0.296335370962237,"GO:0045893",1.51984507523531
"C1","GO:0006511",12,800,116,13936,0.0341847711118812,0.296335370962237,"GO:0006511",1.46616732362352
"C1","GO:0090158",3,800,13,13936,0.0349854015256813,0.296335370962237,"GO:0090158",1.45611313734747
"C1","GO:0006457",11,800,105,13936,0.0383212149505344,0.296335370962237,"GO:0006457",1.41656073033597
"C1","GO:0006120",2,800,6,13936,0.04230273824021,0.296335370962237,"GO:0006120",1.37363151999791
"C1","GO:0010152",2,800,6,13936,0.04230273824021,0.296335370962237,"GO:0010152",1.37363151999791
"C1","GO:0018022",2,800,6,13936,0.04230273824021,0.296335370962237,"GO:0018022",1.37363151999791
"C1","GO:0061615",2,800,6,13936,0.04230273824021,0.296335370962237,"GO:0061615",1.37363151999791
"C1","GO:0016226",4,800,24,13936,0.0458017289368585,0.296335370962237,"GO:0016226",1.33911812781349
"C1","GO:0006366",2,800,7,13936,0.0570075894812105,0.296335370962237,"GO:0006366",1.24406732239074
"C1","GO:0046907",2,800,7,13936,0.0570075894812105,0.296335370962237,"GO:0046907",1.24406732239074
"C1","GO:0072596",2,800,7,13936,0.0570075894812105,0.296335370962237,"GO:0072596",1.24406732239074
"C1","GO:0000447",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0000447",1.24104815067164
"C1","GO:0006482",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0006482",1.24104815067164
"C1","GO:0007029",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0007029",1.24104815067164
"C1","GO:0007584",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0007584",1.24104815067164
"C1","GO:0009825",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0009825",1.24104815067164
"C1","GO:0010266",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0010266",1.24104815067164
"C1","GO:0010446",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0010446",1.24104815067164
"C1","GO:0010950",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0010950",1.24104815067164
"C1","GO:0015811",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0015811",1.24104815067164
"C1","GO:0016598",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0016598",1.24104815067164
"C1","GO:0017121",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0017121",1.24104815067164
"C1","GO:0019427",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0019427",1.24104815067164
"C1","GO:0031397",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0031397",1.24104815067164
"C1","GO:0032324",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0032324",1.24104815067164
"C1","GO:0033467",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0033467",1.24104815067164
"C1","GO:0034247",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0034247",1.24104815067164
"C1","GO:0036257",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0036257",1.24104815067164
"C1","GO:0042543",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0042543",1.24104815067164
"C1","GO:0043970",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0043970",1.24104815067164
"C1","GO:0044571",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0044571",1.24104815067164
"C1","GO:0045168",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0045168",1.24104815067164
"C1","GO:0046967",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0046967",1.24104815067164
"C1","GO:0048480",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0048480",1.24104815067164
"C1","GO:0070966",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0070966",1.24104815067164
"C1","GO:0071242",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0071242",1.24104815067164
"C1","GO:0071266",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0071266",1.24104815067164
"C1","GO:0071596",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0071596",1.24104815067164
"C1","GO:0072423",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0072423",1.24104815067164
"C1","GO:0080050",1,800,1,13936,0.0574052812858783,0.296335370962237,"GO:0080050",1.24104815067164
