"group","replicate","domain","n_spots"
"DQ01__SAM","DQ01","SAM",1
"DQ01__P1_P2","DQ01","P1_P2",30
"DQ01__P3","DQ01","P3",64
"DQ01__P4","DQ01","P4",135
"DQ01__P5","DQ01","P5",217
"DQ01__co_v","DQ01","co_v",32
"DQ01__coleoptile","DQ01","coleoptile",904
"DQ02__SAM","DQ02","SAM",4
"DQ02__P1_P2","DQ02","P1_P2",53
"DQ02__P3","DQ02","P3",76
"DQ02__P4","DQ02","P4",133
"DQ02__P5","DQ02","P5",228
"DQ02__co_v","DQ02","co_v",45
"DQ02__coleoptile","DQ02","coleoptile",1068
"DQ03__SAM","DQ03","SAM",4
"DQ03__P1_P2","DQ03","P1_P2",41
"DQ03__P3","DQ03","P3",65
"DQ03__P4","DQ03","P4",89
"DQ03__P5","DQ03","P5",186
"DQ03__co_v","DQ03","co_v",53
"DQ03__coleoptile","DQ03","coleoptile",874
"DQ04__SAM","DQ04","SAM",3
"DQ04__P1_P2","DQ04","P1_P2",40
"DQ04__P3","DQ04","P3",77
"DQ04__P4","DQ04","P4",120
"DQ04__P5","DQ04","P5",216
"DQ04__co_v","DQ04","co_v",47
"DQ04__coleoptile","DQ04","coleoptile",970
"DQ06__SAM","DQ06","SAM",3
"DQ06__P1_P2","DQ06","P1_P2",45
"DQ06__P3","DQ06","P3",62
"DQ06__P4","DQ06","P4",152
"DQ06__P5","DQ06","P5",228
"DQ06__co_v","DQ06","co_v",40
"DQ06__coleoptile","DQ06","coleoptile",945
"DQ07__SAM","DQ07","SAM",6
"DQ07__P1_P2","DQ07","P1_P2",69
"DQ07__P3","DQ07","P3",87
"DQ07__P4","DQ07","P4",164
"DQ07__P5","DQ07","P5",259
"DQ07__co_v","DQ07","co_v",55
"DQ07__coleoptile","DQ07","coleoptile",1144
"DQ08__SAM","DQ08","SAM",2
"DQ08__P1_P2","DQ08","P1_P2",33
"DQ08__P3","DQ08","P3",48
"DQ08__P4","DQ08","P4",115
"DQ08__P5","DQ08","P5",272
"DQ08__co_v","DQ08","co_v",40
"DQ08__coleoptile","DQ08","coleoptile",1081
"UL01__SAM","UL01","SAM",5
"UL01__P1_P2","UL01","P1_P2",33
"UL01__P3","UL01","P3",46
"UL01__P4","UL01","P4",79
"UL01__P5","UL01","P5",170
"UL01__co_v","UL01","co_v",49
"UL01__coleoptile","UL01","coleoptile",718
"UL02__SAM","UL02","SAM",3
"UL02__P1_P2","UL02","P1_P2",15
"UL02__P3","UL02","P3",19
"UL02__P4","UL02","P4",51
"UL02__P5","UL02","P5",126
"UL02__co_v","UL02","co_v",31
"UL02__coleoptile","UL02","coleoptile",566
"UL04__SAM","UL04","SAM",3
"UL04__P1_P2","UL04","P1_P2",12
"UL04__P3","UL04","P3",22
"UL04__P4","UL04","P4",51
"UL04__P5","UL04","P5",99
"UL04__co_v","UL04","co_v",29
"UL04__coleoptile","UL04","coleoptile",597
"VR01__SAM","VR01","SAM",9
"VR01__P1_P2","VR01","P1_P2",60
"VR01__P3","VR01","P3",75
"VR01__P4","VR01","P4",191
"VR01__P5","VR01","P5",356
"VR01__co_v","VR01","co_v",57
"VR01__coleoptile","VR01","coleoptile",1090
"VR02__SAM","VR02","SAM",4
"VR02__P1_P2","VR02","P1_P2",44
"VR02__P3","VR02","P3",73
"VR02__P4","VR02","P4",148
"VR02__P5","VR02","P5",245
"VR02__co_v","VR02","co_v",34
"VR02__coleoptile","VR02","coleoptile",901
"VR03__SAM","VR03","SAM",7
"VR03__P1_P2","VR03","P1_P2",56
"VR03__P3","VR03","P3",63
"VR03__P4","VR03","P4",148
"VR03__P5","VR03","P5",246
"VR03__co_v","VR03","co_v",38
"VR03__coleoptile","VR03","coleoptile",1083
"VR04__SAM","VR04","SAM",10
"VR04__P1_P2","VR04","P1_P2",48
"VR04__P3","VR04","P3",86
"VR04__P4","VR04","P4",183
"VR04__P5","VR04","P5",279
"VR04__co_v","VR04","co_v",46
"VR04__coleoptile","VR04","coleoptile",1161
