"trend_cluster","gene","distance_to_cluster_median","label"
"C1","Zm00001eb202470",0.0920600960207186,"Zm00001eb202470"
"C1","Zm00001eb060830",0.0939093134917956,"Zm00001eb060830"
"C1","Zm00001eb358410",0.124709673894203,"chn31"
"C2","Zm00001eb078620",0.081094421769189,"Zm00001eb078620"
"C2","Zm00001eb285540",0.0869164870862313,"Zm00001eb285540"
"C2","Zm00001eb057330",0.104838151775987,"Zm00001eb057330"
"C3","Zm00001eb252770",0.2698016591537,"Zm00001eb252770"
"C3","Zm00001eb370520",0.381226452483262,"nbcs23"
"C3","Zm00001eb079340",0.390828084142675,"Zm00001eb079340"
"C4","Zm00001eb421320",0.114229222365466,"Zm00001eb421320"
"C4","Zm00001eb134010",0.114823182762427,"Zm00001eb134010"
"C4","Zm00001eb189250",0.12126115181511,"hagtf19"
"C5","Zm00001eb288430",0.138582627395533,"Zm00001eb288430"
"C5","Zm00001eb345900",0.158056618966225,"Zm00001eb345900"
"C5","Zm00001eb391210",0.165296107045251,"atg3"
"C6","Zm00001eb343840",0.123251794851511,"pco130711"
"C6","Zm00001eb183830",0.136073751531978,"Zm00001eb183830"
"C6","Zm00001eb167750",0.139550779275327,"gme2"
"C7","Zm00001eb379090",0.130874349545773,"Zm00001eb379090"
"C7","Zm00001eb224430",0.187963407900444,"umc1151"
"C7","Zm00001eb248150",0.201241478857274,"pco093974b"
