"gene","raw_cutree_cluster","trend_cluster"
"Zm00001eb026490",1,"C7"
"Zm00001eb055450",2,"C2"
"Zm00001eb053570",3,"C4"
"Zm00001eb004770",2,"C2"
"Zm00001eb036750",4,"C3"
"Zm00001eb013610",5,"C5"
"Zm00001eb027880",2,"C2"
"Zm00001eb022970",3,"C4"
"Zm00001eb048840",6,"C1"
"Zm00001eb004570",2,"C2"
"Zm00001eb058260",7,"C6"
"Zm00001eb035520",6,"C1"
"Zm00001eb037360",5,"C5"
"Zm00001eb033910",6,"C1"
"Zm00001eb050460",3,"C4"
"Zm00001eb030870",6,"C1"
"Zm00001eb033480",3,"C4"
"Zm00001eb017780",2,"C2"
"Zm00001eb040490",6,"C1"
"Zm00001eb009290",3,"C4"
"Zm00001eb016540",2,"C2"
"Zm00001eb058570",2,"C2"
"Zm00001eb065340",7,"C6"
"Zm00001eb052950",6,"C1"
"Zm00001eb059800",3,"C4"
"Zm00001eb059560",2,"C2"
"Zm00001eb063280",6,"C1"
"Zm00001eb057150",2,"C2"
"Zm00001eb013450",2,"C2"
"Zm00001eb014970",2,"C2"
"Zm00001eb023690",5,"C5"
"Zm00001eb005010",2,"C2"
"Zm00001eb021900",2,"C2"
"Zm00001eb059210",6,"C1"
"Zm00001eb048230",2,"C2"
"Zm00001eb042590",2,"C2"
"Zm00001eb036320",5,"C5"
"Zm00001eb064390",5,"C5"
"Zm00001eb000190",2,"C2"
"Zm00001eb019130",3,"C4"
"Zm00001eb020150",2,"C2"
"Zm00001eb024550",1,"C7"
"Zm00001eb045900",2,"C2"
"Zm00001eb013060",3,"C4"
"Zm00001eb055120",2,"C2"
"Zm00001eb062910",7,"C6"
"Zm00001eb020370",2,"C2"
"Zm00001eb019210",3,"C4"
"Zm00001eb044090",5,"C5"
"Zm00001eb019470",7,"C6"
"Zm00001eb063610",2,"C2"
"Zm00001eb003890",6,"C1"
"Zm00001eb064850",6,"C1"
"Zm00001eb061570",5,"C5"
"Zm00001eb060260",7,"C6"
"Zm00001eb057920",2,"C2"
"Zm00001eb042030",2,"C2"
"Zm00001eb008620",2,"C2"
"Zm00001eb001630",4,"C3"
"Zm00001eb016850",1,"C7"
"Zm00001eb018830",2,"C2"
"Zm00001eb035990",3,"C4"
"Zm00001eb042260",5,"C5"
"Zm00001eb032280",5,"C5"
"Zm00001eb020330",3,"C4"
"Zm00001eb062310",6,"C1"
"Zm00001eb017430",6,"C1"
"Zm00001eb008850",6,"C1"
"Zm00001eb021880",7,"C6"
"Zm00001eb003480",6,"C1"
"Zm00001eb056620",2,"C2"
"Zm00001eb063090",5,"C5"
"Zm00001eb065550",6,"C1"
"Zm00001eb052270",2,"C2"
"Zm00001eb054120",2,"C2"
"Zm00001eb049300",2,"C2"
"Zm00001eb043730",3,"C4"
"Zm00001eb001460",2,"C2"
"Zm00001eb064340",2,"C2"
"Zm00001eb059910",3,"C4"
"Zm00001eb028980",3,"C4"
"Zm00001eb023080",2,"C2"
"Zm00001eb035760",3,"C4"
"Zm00001eb050140",7,"C6"
"Zm00001eb018090",2,"C2"
"Zm00001eb014840",6,"C1"
"Zm00001eb035370",2,"C2"
"Zm00001eb057840",4,"C3"
"Zm00001eb061180",7,"C6"
"Zm00001eb037280",7,"C6"
"Zm00001eb023010",7,"C6"
"Zm00001eb010530",6,"C1"
"Zm00001eb042100",2,"C2"
"Zm00001eb058120",2,"C2"
"Zm00001eb062210",2,"C2"
"Zm00001eb006930",2,"C2"
"Zm00001eb053940",2,"C2"
"Zm00001eb034980",3,"C4"
"Zm00001eb036760",7,"C6"
"Zm00001eb040890",7,"C6"
"Zm00001eb029210",2,"C2"
"Zm00001eb043060",2,"C2"
"Zm00001eb045320",2,"C2"
"Zm00001eb019390",5,"C5"
"Zm00001eb010070",3,"C4"
"Zm00001eb039410",6,"C1"
"Zm00001eb006550",2,"C2"
"Zm00001eb064270",2,"C2"
"Zm00001eb009540",1,"C7"
"Zm00001eb031910",3,"C4"
"Zm00001eb051840",3,"C4"
"Zm00001eb004180",3,"C4"
"Zm00001eb034000",3,"C4"
"Zm00001eb061640",2,"C2"
"Zm00001eb007470",5,"C5"
"Zm00001eb014810",3,"C4"
"Zm00001eb055180",6,"C1"
"Zm00001eb039340",2,"C2"
"Zm00001eb003350",3,"C4"
"Zm00001eb008550",6,"C1"
"Zm00001eb023510",2,"C2"
"Zm00001eb033030",1,"C7"
"Zm00001eb024200",2,"C2"
"Zm00001eb053680",6,"C1"
"Zm00001eb058280",5,"C5"
"Zm00001eb010860",6,"C1"
"Zm00001eb009880",3,"C4"
"Zm00001eb043770",5,"C5"
"Zm00001eb023810",1,"C7"
"Zm00001eb011840",2,"C2"
"Zm00001eb030470",2,"C2"
"Zm00001eb058720",5,"C5"
"Zm00001eb004310",7,"C6"
"Zm00001eb035180",6,"C1"
"Zm00001eb058810",6,"C1"
"Zm00001eb062250",2,"C2"
"Zm00001eb052110",6,"C1"
"Zm00001eb041560",2,"C2"
"Zm00001eb022180",2,"C2"
"Zm00001eb046210",2,"C2"
"Zm00001eb055590",2,"C2"
"Zm00001eb022680",2,"C2"
"Zm00001eb035320",6,"C1"
"Zm00001eb045580",5,"C5"
"Zm00001eb046040",3,"C4"
"Zm00001eb063040",6,"C1"
"Zm00001eb062420",6,"C1"
"Zm00001eb020720",6,"C1"
"Zm00001eb040250",6,"C1"
"Zm00001eb052930",2,"C2"
"Zm00001eb001130",2,"C2"
