"gene","raw_cutree_cluster","trend_cluster","mean_SCT_expression"
"Zm00001eb055850",6,"C1",3.12430737291919
"Zm00001eb136490",6,"C1",2.48202458054181
"Zm00001eb269650",6,"C1",2.47551853823675
"Zm00001eb280100",6,"C1",2.35110730994162
"Zm00001eb285210",6,"C1",2.28979558834991
"Zm00001eb007860",6,"C1",2.25269870508553
"Zm00001eb018990",6,"C1",2.20735013919341
"Zm00001eb276860",6,"C1",2.16084325744631
"Zm00001eb027760",6,"C1",2.12891333025423
"Zm00001eb169970",6,"C1",2.0691445194649
"Zm00001eb331200",6,"C1",2.0417761375195
"Zm00001eb077840",6,"C1",2.01332810428471
"Zm00001eb313690",6,"C1",1.98750932122528
"Zm00001eb179490",6,"C1",1.97780594675498
"Zm00001eb042750",6,"C1",1.9723675898456
"Zm00001eb053330",6,"C1",1.96043102578187
"Zm00001eb015010",6,"C1",1.86999138961274
"Zm00001eb285450",6,"C1",1.86982848482592
"Zm00001eb203340",6,"C1",1.86206918629558
"Zm00001eb055330",6,"C1",1.859893548684
"Zm00001eb273510",6,"C1",1.79230446295162
"Zm00001eb013490",6,"C1",1.78065553241255
"Zm00001eb364680",6,"C1",1.72472502230381
"Zm00001eb291340",6,"C1",1.68516207273703
"Zm00001eb346230",6,"C1",1.67545155081999
"Zm00001eb069280",6,"C1",1.61467606807857
"Zm00001eb401250",6,"C1",1.58952293683184
"Zm00001eb352080",6,"C1",1.55690951191605
"Zm00001eb325880",6,"C1",1.55535857029577
"Zm00001eb252630",6,"C1",1.54037750887341
"Zm00001eb401700",6,"C1",1.52556116947564
"Zm00001eb208310",6,"C1",1.51356797466744
"Zm00001eb188910",6,"C1",1.50260875469883
"Zm00001eb284310",6,"C1",1.4848625709008
"Zm00001eb209960",6,"C1",1.47773757896172
"Zm00001eb309210",6,"C1",1.45547238339102
"Zm00001eb112040",6,"C1",1.44561842553284
"Zm00001eb351000",6,"C1",1.4200506011697
"Zm00001eb252780",6,"C1",1.41623171360807
"Zm00001eb391700",6,"C1",1.39023459491183
