sample_id,domains,n_spots,median_spliced_counts,median_unspliced_counts,median_unspliced_fraction,low_unspliced_diagnostic
DQ01,SAM,1,17529.0,1458.0,0.07678938220887976,False
DQ01,P1_P2,30,2387.0,148.0,0.07031213194071478,False
DQ01,P3,64,3860.5,286.0,0.07288633609632046,False
DQ01,P4,135,4988.0,391.0,0.07349665924276169,False
DQ01,P5,217,9780.0,771.0,0.07349551402532005,False
DQ02,SAM,4,6086.5,463.0,0.07394100059825873,False
DQ02,P1_P2,53,6983.0,550.0,0.07359371525976433,False
DQ02,P3,76,8423.5,690.0,0.07374993671065752,False
DQ02,P4,133,10308.0,824.0,0.07464190599582524,False
DQ02,P5,228,14267.0,1142.5,0.07428825670228567,False
DQ03,SAM,4,6054.0,474.5,0.07547779491588032,False
DQ03,P1_P2,41,7699.0,607.0,0.07268553940321347,False
DQ03,P3,65,9282.0,777.0,0.07450124688279301,False
DQ03,P4,89,8155.0,656.0,0.07396407863102815,False
DQ03,P5,186,11414.0,949.5,0.07450363629512126,False
DQ04,SAM,3,3928.0,315.0,0.07423992458166391,False
DQ04,P1_P2,40,6748.5,554.5,0.07401950414224452,False
DQ04,P3,77,7240.0,580.0,0.07325259010652269,False
DQ04,P4,120,8096.5,625.5,0.07408278767947671,False
DQ04,P5,216,12918.5,1008.5,0.0734848766384455,False
DQ06,SAM,3,7346.0,568.0,0.07090250905005617,False
DQ06,P1_P2,45,8123.0,627.0,0.07158161277756135,False
DQ06,P3,62,8273.5,659.0,0.07200988135756564,False
DQ06,P4,152,9571.5,745.0,0.07274238619729614,False
DQ06,P5,228,14098.0,1094.5,0.07238167988305597,False
DQ07,SAM,6,2029.0,151.0,0.06953318779684359,False
DQ07,P1_P2,69,2422.0,179.0,0.07015985790408526,False
DQ07,P3,87,5177.0,374.0,0.07086520076481835,False
DQ07,P4,164,5478.0,394.5,0.07068145077972118,False
DQ07,P5,259,9382.0,714.0,0.07029177718832891,False
DQ08,SAM,2,2802.0,194.5,0.06399266047920468,False
DQ08,P1_P2,33,5821.0,478.0,0.06988477534601487,False
DQ08,P3,48,7063.0,510.0,0.06952003549248154,False
DQ08,P4,115,7958.0,596.0,0.06999105545617174,False
DQ08,P5,272,14921.5,1135.0,0.07019945057143082,False
UL01,SAM,5,37034.0,2572.0,0.06510683673050896,False
UL01,P1_P2,33,41368.0,2974.0,0.06595360953860027,False
UL01,P3,46,41443.5,2940.0,0.06694700261901523,False
UL01,P4,79,42086.0,3028.0,0.06637448820713915,False
UL01,P5,170,39375.5,2802.5,0.0671225345164558,False
UL02,SAM,3,19511.0,1303.0,0.061546554445028934,False
UL02,P1_P2,15,28902.0,1951.0,0.060566360979542475,False
UL02,P3,19,34545.0,2258.0,0.06312659890755722,False
UL02,P4,51,41520.0,2808.0,0.06327514306861878,False
UL02,P5,126,43126.5,2901.0,0.0633491297913422,False
UL04,SAM,3,33812.0,2442.0,0.06735808462514481,False
UL04,P1_P2,12,50039.5,3550.5,0.06955512505379835,False
UL04,P3,22,34665.5,2362.0,0.07097674117375344,False
UL04,P4,51,42807.0,3175.0,0.07067580028981689,False
UL04,P5,99,28923.0,2124.0,0.06950838306337027,False
VR01,SAM,9,14159.0,988.0,0.06527694260706889,False
VR01,P1_P2,60,21859.5,1614.5,0.06699692912202575,False
VR01,P3,75,23476.0,1705.0,0.06756189676877886,False
VR01,P4,191,23279.0,1741.0,0.06885124043732772,False
VR01,P5,356,21701.5,1585.0,0.0682133782893799,False
VR02,SAM,4,11847.5,813.0,0.06446832915495312,False
VR02,P1_P2,44,20913.5,1462.0,0.06544261402118204,False
VR02,P3,73,23295.0,1643.0,0.06613321641272973,False
VR02,P4,148,22581.0,1578.5,0.06579686171679214,False
VR02,P5,245,23085.0,1593.0,0.06463245492371705,False
VR03,SAM,7,20463.0,1497.0,0.0703879383364391,False
VR03,P1_P2,56,20102.0,1533.5,0.06993852688574366,False
VR03,P3,63,17926.0,1330.0,0.0712004204908422,False
VR03,P4,148,15479.0,1185.0,0.07122576865518743,False
VR03,P5,246,14919.0,1152.0,0.07016708685550446,False
VR04,SAM,10,4120.0,302.0,0.06642407086349564,False
VR04,P1_P2,48,8487.0,684.0,0.07014911260961398,False
VR04,P3,86,10520.0,774.0,0.07144219078961737,False
VR04,P4,183,10865.0,874.0,0.07243519838939687,False
VR04,P5,279,13085.0,1051.0,0.07222819556005312,False
