"sample_id","domains","Freq"
"UL01","SAM",5
"UL02","SAM",3
"UL04","SAM",3
"VR01","SAM",9
"VR02","SAM",4
"VR03","SAM",7
"VR04","SAM",10
"DQ01","SAM",1
"DQ02","SAM",4
"DQ03","SAM",4
"DQ04","SAM",3
"DQ06","SAM",3
"DQ07","SAM",5
"DQ08","SAM",2
"UL01","P1_P2",33
"UL02","P1_P2",15
"UL04","P1_P2",12
"VR01","P1_P2",60
"VR02","P1_P2",44
"VR03","P1_P2",56
"VR04","P1_P2",48
"DQ01","P1_P2",29
"DQ02","P1_P2",53
"DQ03","P1_P2",41
"DQ04","P1_P2",40
"DQ06","P1_P2",45
"DQ07","P1_P2",66
"DQ08","P1_P2",33
"UL01","P3",46
"UL02","P3",19
"UL04","P3",22
"VR01","P3",75
"VR02","P3",73
"VR03","P3",63
"VR04","P3",86
"DQ01","P3",61
"DQ02","P3",76
"DQ03","P3",65
"DQ04","P3",77
"DQ06","P3",62
"DQ07","P3",85
"DQ08","P3",48
"UL01","P4",79
"UL02","P4",51
"UL04","P4",51
"VR01","P4",191
"VR02","P4",148
"VR03","P4",148
"VR04","P4",182
"DQ01","P4",132
"DQ02","P4",133
"DQ03","P4",89
"DQ04","P4",120
"DQ06","P4",151
"DQ07","P4",161
"DQ08","P4",115
"UL01","P5",169
"UL02","P5",126
"UL04","P5",99
"VR01","P5",356
"VR02","P5",245
"VR03","P5",246
"VR04","P5",272
"DQ01","P5",215
"DQ02","P5",228
"DQ03","P5",186
"DQ04","P5",216
"DQ06","P5",223
"DQ07","P5",258
"DQ08","P5",272
