"plot_library","plot_cluster","n_cells"
"S6_01","0",12
"S6_01","1",16
"S6_01","2",37
"S6_01","3",27
"S6_01","4",58
"S6_01","5",62
"S6_01","6",8
"S6_01","7",14
"S6_01","8",17
"S6_01","9",41
"S6_01","10",34
"S6_01","11",10
"S6_01","12",8
"S6_01","13",33
"S6_01","14",17
"S6_01","15",29
"S6_01","16",12
"S6_01","17",31
"S6_01","18",22
"S6_01","19",4
"S6_01","20",21
"S6_01","21",27
"S6_01","22",13
"S6_01","23",31
"S6_01","24",14
"S6_01","25",8
"S6_01","26",19
"S6_01","27",16
"S6_01","28",9
"S6_01","29",32
"S6_01","30",10
"S6_01","31",7
"S6_01","32",6
"S6_01","33",10
"S6_01","35",10
"S6_02","0",25
"S6_02","1",7
"S6_02","2",23
"S6_02","3",18
"S6_02","4",37
"S6_02","5",15
"S6_02","6",4
"S6_02","7",6
"S6_02","8",5
"S6_02","9",11
"S6_02","10",6
"S6_02","11",10
"S6_02","12",15
"S6_02","13",13
"S6_02","14",13
"S6_02","15",4
"S6_02","16",4
"S6_02","17",15
"S6_02","18",5
"S6_02","19",5
"S6_02","20",7
"S6_02","21",29
"S6_02","22",11
"S6_02","23",10
"S6_02","24",3
"S6_02","25",7
"S6_02","26",9
"S6_02","27",9
"S6_02","28",2
"S6_02","29",4
"S6_02","30",3
"S6_02","32",2
