TF gene ID,level in GCN
Zm00001eb222520,2
Zm00001eb015020,2
Zm00001eb015320,2
Zm00001eb019780,2
Zm00001eb023870,2
Zm00001eb035180,2
Zm00001eb040220,2
Zm00001eb041860,2
Zm00001eb050860,2
Zm00001eb051340,2
Zm00001eb055700,2
Zm00001eb055920,2
Zm00001eb057820,2
Zm00001eb062170,2
Zm00001eb062760,2
Zm00001eb071920,2
Zm00001eb073910,2
Zm00001eb075640,2
Zm00001eb076640,2
Zm00001eb079950,2
Zm00001eb082590,2
Zm00001eb093650,2
Zm00001eb102260,2
Zm00001eb103060,2
Zm00001eb104790,2
Zm00001eb117820,2
Zm00001eb130180,2
Zm00001eb144270,2
Zm00001eb149810,2
Zm00001eb150830,2
Zm00001eb154380,2
Zm00001eb160080,2
Zm00001eb162130,2
Zm00001eb164530,2
Zm00001eb167310,2
Zm00001eb172450,2
Zm00001eb176440,2
Zm00001eb197040,2
Zm00001eb198620,2
Zm00001eb202570,2
Zm00001eb202660,2
Zm00001eb203350,2
Zm00001eb204190,2
Zm00001eb216500,2
Zm00001eb220660,2
Zm00001eb227240,2
Zm00001eb227390,2
Zm00001eb228170,2
Zm00001eb235640,2
Zm00001eb243260,2
Zm00001eb244670,2
Zm00001eb251820,2
Zm00001eb264150,2
Zm00001eb264380,2
Zm00001eb264780,2
Zm00001eb264910,2
Zm00001eb267130,2
Zm00001eb269420,2
Zm00001eb279010,2
Zm00001eb284130,2
Zm00001eb289490,2
Zm00001eb291720,2
Zm00001eb295700,2
Zm00001eb299420,2
Zm00001eb307400,2
Zm00001eb309600,2
Zm00001eb311020,2
Zm00001eb314810,2
Zm00001eb325760,2
Zm00001eb331080,2
Zm00001eb334160,2
Zm00001eb344540,2
Zm00001eb353320,2
Zm00001eb354880,2
Zm00001eb358260,2
Zm00001eb358680,2
Zm00001eb360510,2
Zm00001eb361590,2
Zm00001eb373300,2
Zm00001eb375660,2
Zm00001eb380990,2
Zm00001eb386370,2
Zm00001eb388280,2
Zm00001eb399030,2
Zm00001eb400120,2
Zm00001eb402580,2
Zm00001eb403140,2
Zm00001eb413100,2
Zm00001eb421120,2
Zm00001eb424870,2
Zm00001eb430300,2
Zm00001eb004190,3
Zm00001eb004670,3
Zm00001eb005020,3
Zm00001eb006890,3
Zm00001eb029300,3
Zm00001eb030510,3
Zm00001eb031560,3
Zm00001eb031670,3
Zm00001eb041290,3
Zm00001eb042240,3
Zm00001eb051330,3
Zm00001eb051910,3
Zm00001eb053870,3
Zm00001eb060670,3
Zm00001eb067270,3
Zm00001eb067340,3
Zm00001eb070520,3
Zm00001eb073790,3
Zm00001eb074570,3
Zm00001eb074730,3
Zm00001eb074810,3
Zm00001eb075520,3
Zm00001eb092090,3
Zm00001eb094740,3
Zm00001eb097990,3
Zm00001eb100610,3
Zm00001eb100750,3
Zm00001eb101700,3
Zm00001eb106620,3
Zm00001eb106790,3
Zm00001eb112080,3
Zm00001eb116410,3
Zm00001eb120590,3
Zm00001eb121110,3
Zm00001eb138730,3
Zm00001eb139160,3
Zm00001eb142180,3
Zm00001eb143060,3
Zm00001eb144290,3
Zm00001eb145420,3
Zm00001eb148320,3
Zm00001eb148850,3
Zm00001eb150840,3
Zm00001eb152940,3
Zm00001eb157860,3
Zm00001eb158680,3
Zm00001eb168120,3
Zm00001eb169410,3
Zm00001eb178550,3
Zm00001eb184050,3
Zm00001eb187880,3
Zm00001eb199530,3
Zm00001eb220000,3
Zm00001eb227100,3
Zm00001eb239380,3
Zm00001eb244380,3
Zm00001eb250620,3
Zm00001eb271970,3
Zm00001eb273580,3
Zm00001eb274800,3
Zm00001eb278870,3
Zm00001eb280500,3
Zm00001eb294030,3
Zm00001eb296770,3
Zm00001eb303220,3
Zm00001eb303810,3
Zm00001eb306220,3
Zm00001eb308280,3
Zm00001eb312850,3
Zm00001eb313820,3
Zm00001eb317100,3
Zm00001eb320340,3
Zm00001eb324300,3
Zm00001eb337450,3
Zm00001eb339390,3
Zm00001eb340550,3
Zm00001eb343660,3
Zm00001eb349730,3
Zm00001eb355110,3
Zm00001eb357490,3
Zm00001eb360260,3
Zm00001eb361390,3
Zm00001eb361790,3
Zm00001eb362090,3
Zm00001eb362740,3
Zm00001eb376740,3
Zm00001eb379550,3
Zm00001eb388060,3
Zm00001eb388300,3
Zm00001eb406000,3
Zm00001eb413890,3
Zm00001eb415640,3
Zm00001eb419680,3
Zm00001eb425230,3
Zm00001eb425660,3
Zm00001eb427580,3
Zm00001eb427790,3
Zm00001eb428800,3
Zm00001eb429450,3
Zm00001eb005740,4
Zm00001eb008680,4
Zm00001eb031310,4
Zm00001eb032000,4
Zm00001eb035370,4
Zm00001eb037670,4
Zm00001eb042020,4
Zm00001eb045630,4
Zm00001eb047760,4
Zm00001eb049650,4
Zm00001eb053460,4
Zm00001eb058850,4
Zm00001eb060810,4
Zm00001eb067160,4
Zm00001eb073900,4
Zm00001eb075080,4
Zm00001eb076420,4
Zm00001eb089380,4
Zm00001eb091300,4
Zm00001eb092810,4
Zm00001eb100770,4
Zm00001eb104350,4
Zm00001eb106720,4
Zm00001eb108930,4
Zm00001eb118760,4
Zm00001eb126430,4
Zm00001eb128000,4
Zm00001eb135750,4
Zm00001eb136060,4
Zm00001eb136750,4
Zm00001eb138370,4
Zm00001eb143690,4
Zm00001eb145150,4
Zm00001eb146420,4
Zm00001eb147970,4
Zm00001eb159750,4
Zm00001eb161000,4
Zm00001eb172100,4
Zm00001eb176740,4
Zm00001eb179440,4
Zm00001eb183700,4
Zm00001eb187040,4
Zm00001eb197620,4
Zm00001eb199880,4
