gene_id,recovered_level
Zm00001eb227240,1
Zm00001eb050860,1
Zm00001eb019780,1
Zm00001eb164530,1
Zm00001eb055700,1
Zm00001eb269420,1
Zm00001eb325760,1
Zm00001eb202570,1
Zm00001eb380990,1
Zm00001eb150830,1
Zm00001eb361590,1
Zm00001eb307400,1
Zm00001eb314810,1
Zm00001eb203350,1
Zm00001eb424870,1
Zm00001eb051340,1
Zm00001eb264780,1
Zm00001eb062170,1
Zm00001eb331080,1
Zm00001eb162130,1
Zm00001eb353320,1
Zm00001eb386370,1
Zm00001eb235640,1
Zm00001eb388280,1
Zm00001eb040220,1
Zm00001eb289490,1
Zm00001eb079950,1
Zm00001eb041860,1
Zm00001eb284130,1
Zm00001eb334160,1
Zm00001eb222520,1
Zm00001eb360510,1
Zm00001eb073910,1
Zm00001eb244670,1
Zm00001eb144270,1
Zm00001eb295700,1
Zm00001eb160080,1
Zm00001eb216500,1
Zm00001eb264150,1
Zm00001eb358680,1
Zm00001eb243260,1
Zm00001eb430300,1
Zm00001eb373300,1
Zm00001eb198620,1
Zm00001eb311020,1
Zm00001eb309600,1
Zm00001eb093650,1
Zm00001eb358260,1
Zm00001eb413100,1
Zm00001eb015020,1
Zm00001eb075640,1
Zm00001eb082590,1
Zm00001eb354880,1
Zm00001eb055920,1
Zm00001eb154380,1
Zm00001eb102260,1
Zm00001eb104790,1
Zm00001eb399030,1
Zm00001eb197040,1
Zm00001eb400120,1
Zm00001eb071920,1
Zm00001eb344540,1
Zm00001eb172450,1
Zm00001eb117820,1
Zm00001eb035180,1
Zm00001eb264380,1
Zm00001eb299420,1
Zm00001eb403140,1
Zm00001eb103060,1
Zm00001eb421120,1
Zm00001eb291720,1
Zm00001eb130180,1
Zm00001eb202660,1
Zm00001eb220660,1
Zm00001eb264910,1
Zm00001eb251820,1
Zm00001eb402580,1
Zm00001eb227390,1
Zm00001eb279010,1
Zm00001eb375660,1
Zm00001eb015320,1
Zm00001eb204190,1
Zm00001eb062760,1
Zm00001eb176440,1
Zm00001eb076640,1
Zm00001eb167310,1
Zm00001eb228170,1
Zm00001eb267130,1
Zm00001eb149810,1
Zm00001eb023870,1
Zm00001eb057820,1
Zm00001eb184050,2
Zm00001eb144290,2
Zm00001eb273580,2
Zm00001eb168120,2
Zm00001eb067340,2
Zm00001eb320340,2
Zm00001eb148320,2
Zm00001eb199530,2
Zm00001eb357490,2
Zm00001eb419680,2
Zm00001eb031560,2
Zm00001eb070520,2
Zm00001eb116410,2
Zm00001eb294030,2
Zm00001eb150840,2
Zm00001eb004670,2
Zm00001eb360260,2
Zm00001eb388300,2
Zm00001eb005020,2
Zm00001eb120590,2
Zm00001eb406000,2
Zm00001eb148850,2
Zm00001eb074570,2
Zm00001eb139160,2
Zm00001eb415640,2
Zm00001eb339390,2
Zm00001eb142180,2
Zm00001eb121110,2
Zm00001eb362090,2
Zm00001eb340550,2
Zm00001eb092090,2
Zm00001eb178550,2
Zm00001eb094740,2
Zm00001eb296770,2
Zm00001eb355110,2
Zm00001eb379550,2
Zm00001eb317100,2
Zm00001eb388060,2
Zm00001eb278870,2
Zm00001eb427580,2
Zm00001eb106620,2
Zm00001eb306220,2
Zm00001eb343660,2
Zm00001eb101700,2
Zm00001eb244380,2
Zm00001eb145420,2
Zm00001eb376740,2
