node_1 ID, node_2 ID, PCC_value
Zm00001eb227240,Zm00001eb067340,0.959190
Zm00001eb227240,Zm00001eb419680,0.968550
Zm00001eb227240,Zm00001eb142180,0.953832
Zm00001eb227240,Zm00001eb102090,0.985371
Zm00001eb227240,Zm00001eb429870,0.960195
Zm00001eb227240,Zm00001eb284910,0.962886
Zm00001eb050860,Zm00001eb164530,0.956653
Zm00001eb050860,Zm00001eb269420,0.950720
Zm00001eb050860,Zm00001eb202570,0.955539
Zm00001eb050860,Zm00001eb307400,0.953288
Zm00001eb050860,Zm00001eb314810,0.970070
Zm00001eb050860,Zm00001eb424870,0.981373
Zm00001eb050860,Zm00001eb051340,0.980384
Zm00001eb050860,Zm00001eb062170,0.993887
Zm00001eb050860,Zm00001eb331080,0.992554
Zm00001eb050860,Zm00001eb386370,0.977152
Zm00001eb050860,Zm00001eb235640,0.975475
Zm00001eb050860,Zm00001eb388280,0.980372
Zm00001eb050860,Zm00001eb040220,0.980600
Zm00001eb050860,Zm00001eb079950,0.998392
Zm00001eb050860,Zm00001eb041860,0.996797
Zm00001eb050860,Zm00001eb284130,0.996791
Zm00001eb050860,Zm00001eb334160,0.991727
Zm00001eb050860,Zm00001eb360510,0.989604
Zm00001eb050860,Zm00001eb073910,0.965561
Zm00001eb050860,Zm00001eb244670,0.996887
Zm00001eb050860,Zm00001eb144270,0.990694
Zm00001eb050860,Zm00001eb160080,0.971377
Zm00001eb050860,Zm00001eb216500,0.995722
Zm00001eb050860,Zm00001eb264150,0.981165
Zm00001eb050860,Zm00001eb358680,0.981895
Zm00001eb050860,Zm00001eb015020,0.983152
Zm00001eb050860,Zm00001eb082590,0.964621
Zm00001eb050860,Zm00001eb354880,0.958072
Zm00001eb050860,Zm00001eb055920,0.973008
Zm00001eb050860,Zm00001eb154380,0.977405
Zm00001eb050860,Zm00001eb071920,0.961341
Zm00001eb050860,Zm00001eb117820,0.969711
Zm00001eb050860,Zm00001eb035180,0.961861
Zm00001eb050860,Zm00001eb264380,0.956654
Zm00001eb050860,Zm00001eb103060,0.963630
Zm00001eb050860,Zm00001eb421120,0.953506
Zm00001eb050860,Zm00001eb227390,0.987156
Zm00001eb050860,Zm00001eb279010,0.970052
Zm00001eb050860,Zm00001eb204190,0.994120
Zm00001eb050860,Zm00001eb062760,0.990668
Zm00001eb050860,Zm00001eb176440,0.988886
Zm00001eb050860,Zm00001eb167310,0.976726
Zm00001eb050860,Zm00001eb094740,0.989302
Zm00001eb050860,Zm00001eb379550,0.981235
Zm00001eb050860,Zm00001eb388060,0.981505
Zm00001eb050860,Zm00001eb278870,0.976700
Zm00001eb050860,Zm00001eb306220,0.984052
Zm00001eb050860,Zm00001eb244380,0.964278
Zm00001eb050860,Zm00001eb053870,0.968839
