BIN	# in LD	PDF	CDF_asc	CDF_desc
-1.000000	3950	0.002474	0.002474	0.000000
-0.990000	6672	0.004179	0.006654	0.997526
-0.980000	7784	0.004876	0.011529	0.993346
-0.970000	8780	0.005500	0.017029	0.988471
-0.960000	9256	0.005798	0.022827	0.982971
-0.950000	9538	0.005975	0.028802	0.977173
-0.940000	9414	0.005897	0.034699	0.971198
-0.930000	9572	0.005996	0.040694	0.965301
-0.920000	9590	0.006007	0.046702	0.959306
-0.910000	9752	0.006109	0.052810	0.953298
-0.900000	9396	0.005886	0.058696	0.947190
-0.890000	9512	0.005958	0.064654	0.941304
-0.880000	9642	0.006040	0.070694	0.935346
-0.870000	9496	0.005948	0.076642	0.929306
-0.860000	9110	0.005706	0.082349	0.923358
-0.850000	9506	0.005955	0.088303	0.917651
-0.840000	9536	0.005973	0.094276	0.911697
-0.830000	9232	0.005783	0.100059	0.905724
-0.820000	9166	0.005742	0.105801	0.899941
-0.810000	8952	0.005608	0.111408	0.894199
-0.800000	9200	0.005763	0.117171	0.888592
-0.790000	9066	0.005679	0.122850	0.882829
-0.780000	8966	0.005616	0.128466	0.877150
-0.770000	8476	0.005309	0.133776	0.871534
-0.760000	8400	0.005262	0.139038	0.866224
-0.750000	8454	0.005296	0.144333	0.860962
-0.740000	8328	0.005217	0.149550	0.855667
-0.730000	8234	0.005158	0.154707	0.850450
-0.720000	7962	0.004987	0.159695	0.845293
-0.710000	8050	0.005042	0.164737	0.840305
-0.700000	7918	0.004960	0.169697	0.835263
-0.690000	8130	0.005093	0.174790	0.830303
-0.680000	7924	0.004964	0.179753	0.825210
-0.670000	7656	0.004796	0.184549	0.820247
-0.660000	7508	0.004703	0.189252	0.815451
-0.650000	7642	0.004787	0.194039	0.810748
-0.640000	7424	0.004650	0.198689	0.805961
-0.630000	7278	0.004559	0.203248	0.801311
-0.620000	7342	0.004599	0.207847	0.796752
-0.610000	7016	0.004395	0.212242	0.792153
-0.600000	7138	0.004471	0.216713	0.787758
-0.590000	6932	0.004342	0.221055	0.783287
-0.580000	7034	0.004406	0.225462	0.778945
-0.570000	6680	0.004184	0.229646	0.774538
-0.560000	6602	0.004135	0.233781	0.770354
-0.550000	6550	0.004103	0.237884	0.766219
-0.540000	6522	0.004085	0.241970	0.762116
-0.530000	6306	0.003950	0.245920	0.758030
-0.520000	6474	0.004055	0.249975	0.754080
-0.510000	6566	0.004113	0.254088	0.750025
-0.500000	6138	0.003845	0.257933	0.745912
-0.490000	6206	0.003887	0.261820	0.742067
-0.480000	6326	0.003963	0.265783	0.738180
-0.470000	6054	0.003792	0.269575	0.734217
-0.460000	5980	0.003746	0.273321	0.730425
-0.450000	6004	0.003761	0.277082	0.726679
-0.440000	5702	0.003572	0.280653	0.722918
-0.430000	5910	0.003702	0.284355	0.719347
-0.420000	6042	0.003785	0.288140	0.715645
-0.410000	5650	0.003539	0.291679	0.711860
-0.400000	5720	0.003583	0.295262	0.708321
-0.390000	5636	0.003530	0.298793	0.704738
-0.380000	5664	0.003548	0.302340	0.701207
-0.370000	5590	0.003502	0.305842	0.697660
-0.360000	5918	0.003707	0.309549	0.694158
-0.350000	5668	0.003550	0.313099	0.690451
-0.340000	5406	0.003386	0.316486	0.686901
-0.330000	5362	0.003359	0.319845	0.683514
