level,domain,mean_z_score,level_label,sign
1,P1_P2,-0.196384346724153,L1,Negative
1,P3,-0.405625975809609,L1,Negative
1,P4,-0.56487502749048,L1,Negative
1,P5,-0.565954478979029,L1,Negative
1,SAM,1.73283982900327,L1,Positive
2,P1_P2,-0.202896838687564,L2,Negative
2,P3,-0.366466062014138,L2,Negative
2,P4,-0.522679210628381,L2,Negative
2,P5,-0.507232189050758,L2,Negative
2,SAM,1.59927430038084,L2,Positive
3,P1_P2,0.161845880679963,L3,Positive
3,P3,-0.280510593235009,L3,Negative
3,P4,-0.574535776900561,L3,Negative
3,P5,-0.635295485097893,L3,Negative
3,SAM,1.3284959745535,L3,Positive
4,P1_P2,-0.0694675686185283,L4,Negative
4,P3,-0.138887743403562,L4,Negative
4,P4,-0.457035590479704,L4,Negative
4,P5,-0.394588840391851,L4,Negative
4,SAM,1.05997974289365,L4,Positive
5,P1_P2,-0.39913979188962,L5,Negative
5,P3,0.0242701106248967,L5,Positive
5,P4,-0.263519956025268,L5,Negative
5,P5,-0.111342113916569,L5,Negative
5,SAM,0.74973175120656,L5,Positive
6,P1_P2,-0.278506061089803,L6,Negative
6,P3,-0.0493444477439808,L6,Negative
6,P4,-0.134876031240457,L6,Negative
6,P5,0.101466686714268,L6,Positive
6,SAM,0.361259853359973,L6,Positive
7,P1_P2,-0.27126228400535,L7,Negative
7,P3,-0.12460359464721,L7,Negative
7,P4,-0.0202418278725087,L7,Negative
7,P5,0.525625377775656,L7,Positive
7,SAM,-0.109517671250586,L7,Negative
8,P1_P2,-0.501095870462136,L8,Negative
8,P3,-0.190957245389382,L8,Negative
8,P4,0.08139574951387,L8,Positive
8,P5,1.10702835665014,L8,Positive
8,SAM,-0.496370990312489,L8,Negative
9,P1_P2,-0.511673227618566,L9,Negative
9,P3,-0.134718605596544,L9,Negative
9,P4,0.263822243281099,L9,Positive
9,P5,1.27689333946608,L9,Positive
9,SAM,-0.894323749532069,L9,Negative
10,P1_P2,-0.413213172994555,L10,Negative
10,P3,0.133510923913355,L10,Positive
10,P4,0.427803440986057,L10,Positive
10,P5,1.07496186825697,L10,Positive
10,SAM,-1.22306306016182,L10,Negative
11,P1_P2,-0.114614539015895,L11,Negative
11,P3,0.339867314224582,L11,Positive
11,P4,0.46091123281513,L11,Positive
11,P5,0.759812551793888,L11,Positive
11,SAM,-1.44597655981771,L11,Negative
12,P1_P2,0.0698457820036255,L12,Positive
12,P3,0.495609215163498,L12,Positive
12,P4,0.472765364174654,L12,Positive
12,P5,0.46662420610147,L12,Positive
12,SAM,-1.50484456744325,L12,Negative
13,P1_P2,-0.268315429794639,L13,Negative
13,P3,0.787412537664127,L13,Positive
13,P4,0.475730606779555,L13,Positive
13,P5,0.0263041477297679,L13,Positive
13,SAM,-1.02113186237881,L13,Negative
14,P1_P2,-0.319468975749369,L14,Negative
14,P3,1.14515001552346,L14,Positive
14,P4,-0.0476826274900788,L14,Negative
14,P5,-0.0146578747405472,L14,Negative
14,SAM,-0.763340537543458,L14,Negative
15,P1_P2,0.0272116854645804,L15,Positive
15,P3,1.55764943277264,L15,Positive
15,P4,-0.628045105524657,L15,Negative
15,P5,0.104263415955126,L15,Positive
15,SAM,-1.06107942866768,L15,Negative
