,SAM,P1_P2,P3,P4,P5
Zm00001eb228170,1.9267229990362778,-0.4639943477532393,-0.21328328326132764,-0.975722048314777,-0.273723319706929
Zm00001eb267130,1.9184244821513918,-0.5074704323114659,-0.0522808361697523,-0.9404797955350374,-0.41819341813513033
Zm00001eb015320,1.911596894467736,-0.21936558767449962,-0.11016176031894216,-0.9215499325640908,-0.660519613910201
Zm00001eb167310,1.9534889064492822,-0.2673080658321808,-0.2308317954648198,-0.7355406178687612,-0.7198084272835205
Zm00001eb076640,1.9422327578640866,-0.26381253982759445,-0.1788590416876449,-0.7798009188653571,-0.719760257483491
Zm00001eb176440,1.9356372564635316,-0.30963651374230833,-0.1233020334300506,-0.6701750241981518,-0.8325236850930204
Zm00001eb204190,1.9124288497406683,-0.17521692397749342,-0.1325144573310919,-0.7439198876010042,-0.8607775808310788
Zm00001eb062760,1.9659869675255273,-0.3958702378715415,-0.23083291966175648,-0.5511986704191884,-0.7880851395730403
Zm00001eb403140,1.912850625811982,-0.41741790557813063,-0.11201784082431886,-0.3776227262239188,-1.0057921531856113
Zm00001eb227390,1.9061129931230048,-0.1525786248745645,-0.2739266868303169,-0.44501769325174156,-1.0345899881663805
Zm00001eb375660,1.9153738896574284,-0.05915453818465415,-0.4155207076560132,-0.47808928208334894,-0.9626093617334119
Zm00001eb279010,1.9330718049829902,-0.09206866908172788,-0.39626347297636233,-0.557907571165664,-0.886832091759238
Zm00001eb243260,1.9568174586935756,-0.3910418933091146,-0.5964442154907764,-0.7948304181829781,-0.17450093171070535
Zm00001eb311020,1.9701485043030424,-0.43209193693960907,-0.6115340603233362,-0.7168510246690268,-0.209671482371071
Zm00001eb430300,1.9575929948159714,-0.30331344230475316,-0.7230719691400486,-0.7099639440679046,-0.22124363930326463
Zm00001eb198620,1.9694177510069537,-0.40399324920323715,-0.7061719952050889,-0.6421666668175162,-0.2170858397811105
Zm00001eb373300,1.9644169295175966,-0.39770714658446277,-0.7850215093086166,-0.5656556123252844,-0.21603266129923787
Zm00001eb149810,1.9055212490608462,-0.1255232568286254,-0.780631088443011,-0.8493123129275509,-0.150054590861658
Zm00001eb309600,1.9681105619547674,-0.27678377572624724,-0.5112047285611006,-0.804836780976481,-0.3752852766909451
Zm00001eb413100,1.9507903444672128,-0.18851351780051107,-0.5596559515805086,-0.8488143938790961,-0.353806481207097
Zm00001eb358260,1.9581246131757795,-0.21045582622374304,-0.6209569251960751,-0.7882214816232345,-0.33849038013272265
Zm00001eb093650,1.949742202248157,-0.1464608496942458,-0.7212797499738641,-0.7300065585622441,-0.3519950440178031
Zm00001eb057820,1.9228373234489866,-0.0777402897205073,-0.6086921235663609,-0.9026303217515785,-0.3337745884105401
Zm00001eb023870,1.9090373457655658,-0.01774115251420689,-0.595430423757442,-0.9317375959224694,-0.3641281735714507
Zm00001eb015020,1.985543918447316,-0.2914643596581318,-0.4616372347819657,-0.6232174977108086,-0.6092248262964102
Zm00001eb104790,1.994593697672974,-0.36238855968662104,-0.5207459950159424,-0.5824073566266665,-0.5290517863437421
Zm00001eb102260,1.9873717927775627,-0.32286221225338113,-0.49459855703315747,-0.6775290368721871,-0.49238198661883914
Zm00001eb075640,1.9872239060122616,-0.27843760446918603,-0.5760160261992541,-0.562205604133761,-0.5705646712100609
Zm00001eb154380,1.9850103008781714,-0.2626973087731471,-0.5389726239738508,-0.5982095476901242,-0.5851308204410497
Zm00001eb055920,1.9831226296399591,-0.2458947975500784,-0.5568147920701197,-0.5863207025114877,-0.5940923375082736
Zm00001eb082590,1.9792077773874412,-0.21956217605208903,-0.5464682354868791,-0.6056316362500928,-0.6075457295983806
Zm00001eb354880,1.9798455479421548,-0.22715652607001774,-0.529597823380821,-0.620535163035535,-0.602556035455781
Zm00001eb117820,1.9740499959855295,-0.1852779086913033,-0.5577756131189855,-0.6133868874824877,-0.6176095866927533
Zm00001eb299420,1.9703853950441763,-0.161777884914733,-0.5763683109527968,-0.6171586098837781,-0.6150805892928685
Zm00001eb264380,1.9702716887740486,-0.1625310394666092,-0.5653202107015468,-0.6106764672436913,-0.6317439713622015
Zm00001eb035180,1.9682118812933405,-0.15214958912346596,-0.5561513056651066,-0.6303862568645989,-0.6295247296401686
Zm00001eb172450,1.972762717291538,-0.19989060894533156,-0.4994959620460988,-0.6999786120818561,-0.5733975342182521
Zm00001eb399030,1.9644589223342261,-0.13516777383288878,-0.6772105385860184,-0.5624051310475442,-0.5896754788677758
Zm00001eb197040,1.9536491539398577,-0.07939840381366559,-0.6564052970305398,-0.5614401560651121,-0.6564052970305398
Zm00001eb400120,1.9526020406204754,-0.07075029797672265,-0.6450055544878479,-0.6450055544878479,-0.5918406336680568
Zm00001eb291720,1.9470440439246506,-0.06344474848592632,-0.5058533399259201,-0.6861624033754755,-0.6915835521373283
Zm00001eb071920,1.9617863924591918,-0.12745802279185223,-0.5166663469240941,-0.6522020727634604,-0.6654599499797853
Zm00001eb344540,1.9606539097774554,-0.13794582278086495,-0.4851392466791583,-0.6100396072421422,-0.7275292330752899
Zm00001eb421120,1.9512517446073712,-0.13048197970002295,-0.4164847454642957,-0.6123557316868359,-0.7919292877562202
Zm00001eb103060,1.9444621596284617,-0.10898074563055737,-0.37707380826821746,-0.7015535067739171,-0.7568540989557696
Zm00001eb220660,1.9014683788307698,0.09451530280852427,-0.49359255967263266,-0.7108117449465,-0.7915793770201611
Zm00001eb130180,1.937993398823864,-0.011665936766659613,-0.5732139195336684,-0.6739911322539034,-0.679122410269632
Zm00001eb202660,1.9337479502622867,0.003397894811360526,-0.5656173409320326,-0.6941046347887482,-0.6774238693528671
Zm00001eb251820,1.9135477837283745,0.08064106360880492,-0.6087707588279893,-0.6649743957077454,-0.7204436928014438
Zm00001eb402580,1.9220596236933478,0.054555254063027706,-0.6647543983117513,-0.6686416201104846,-0.64321885933414
Zm00001eb264910,1.907447248767612,0.09163856738279612,-0.6148534406993439,-0.7847255230368992,-0.5995068524141652
Zm00001eb289490,1.967854660583142,-0.21483653342244272,-0.7784322371151717,-0.47104913989299757,-0.5035367501525292
Zm00001eb040220,1.9829934836222423,-0.4252174637324203,-0.7244903176253026,-0.33045062028560757,-0.5028350819789114
Zm00001eb160080,1.9714831696659236,-0.3263398276908464,-0.6395019156011048,-0.2881856865609831,-0.7174557398129898
Zm00001eb203350,1.935088165822363,-0.3004577462817651,-0.8604137274619132,-0.13696697836698488,-0.6372497137116974
Zm00001eb269420,1.927064814076384,-0.8706335320781856,-0.4556793359854859,-0.565256462667836,-0.035495483344876046
Zm00001eb325760,1.9426941262554627,-0.6582961775005661,-0.5744838522800684,-0.6794296709525544,-0.03048442552228347
Zm00001eb424870,1.9898101544221454,-0.5921843647714848,-0.4825011664077441,-0.5961972889199957,-0.31892733432292103
Zm00001eb051340,1.9819486079522266,-0.6201977548930069,-0.6127829982274946,-0.4994939941297251,-0.24947386070200084
Zm00001eb380990,1.9509894139390915,-0.8729136060403356,-0.526634629149976,-0.3094431608763083,-0.24199801787247113
Zm00001eb361590,1.9611230128833883,-0.7810258216233813,-0.6239958773778495,-0.27809344373123907,-0.27800787015092304
Zm00001eb386370,1.9816220893455267,-0.702158304338536,-0.5676136048633943,-0.3079820678733249,-0.40386811227027175
Zm00001eb264780,1.9896011893785903,-0.6109763024826046,-0.6111580892273164,-0.3931730025892061,-0.37429379507946264
Zm00001eb314810,1.9658887582125928,-0.6875365746983827,-0.6875365746983827,-0.3829771067551732,-0.20783850206065405
Zm00001eb307400,1.959307807166014,-0.6978886083178655,-0.7237548719316567,-0.32222611580477956,-0.21543821111171244
Zm00001eb150830,1.940665578708093,-0.6826714774989606,-0.7899553012160585,-0.364819301292635,-0.10321949870043884
Zm00001eb055700,1.922641873790706,-0.8037487200185093,-0.7481000622555812,-0.30589293306959076,-0.06490015844702567
Zm00001eb202570,1.9373033459755435,-0.7736572619655843,-0.7338387495275959,-0.1215663649868407,-0.30824096949552354
Zm00001eb227240,1.916853669642937,-0.621457422464904,-0.8564165979140019,0.014670084215665827,-0.4536497334796922
Zm00001eb079950,1.976382675221615,-0.6293550337257199,-0.20021547799682957,-0.582021643360559,-0.5647905201385077
Zm00001eb244670,1.9842876989190692,-0.632400329040778,-0.30307483766918536,-0.42239173120893564,-0.6264208010001706
Zm00001eb295700,1.988270426070008,-0.581909906909425,-0.3649499322464952,-0.39282817521268953,-0.648582411701396
Zm00001eb144270,1.9927675567615173,-0.5931792028621806,-0.4014057058632318,-0.40500344517392456,-0.5931792028621806
Zm00001eb284130,1.996068262408619,-0.5835052632728507,-0.39220440452747185,-0.4896491510350587,-0.5307094435732376
Zm00001eb041860,1.996068262408619,-0.5835052632728507,-0.39220440452747185,-0.4896491510350587,-0.5307094435732376
Zm00001eb360510,1.9996033558498312,-0.5127558771855837,-0.5127558771855837,-0.5127558771855837,-0.46133572429307984
Zm00001eb222520,2.0,-0.5,-0.5,-0.5,-0.5
Zm00001eb334160,1.9987372248528634,-0.5226187825976591,-0.5226187825976591,-0.4308808770598858,-0.5226187825976591
Zm00001eb264150,1.9937313733059903,-0.4117782465175915,-0.4273975605456925,-0.5211264952514759,-0.6334290709912297
Zm00001eb358680,1.9951829742381826,-0.4526845253371334,-0.44825690361182424,-0.4613737946330316,-0.6328677506561936
Zm00001eb216500,1.9829663712472114,-0.3498326739706368,-0.5056150499764314,-0.3991905812386063,-0.7283280660615349
Zm00001eb073910,1.989239596460397,-0.5258458209001876,-0.5424066637106149,-0.3054155407490903,-0.6155715711005062
Zm00001eb162130,1.9758641739722418,-0.6167351887797924,-0.54229336944523,-0.1987679058787444,-0.6180677098684749
Zm00001eb353320,1.982859584352616,-0.6416096172895361,-0.4670614705551322,-0.26923152643639786,-0.6049569700715499
Zm00001eb235640,1.9715723451550862,-0.7165833989304158,-0.5339459201475143,-0.19565648972013594,-0.5253865363570194
Zm00001eb388280,1.969249644046757,-0.6438503674248018,-0.6391238786000578,-0.16488752281632507,-0.5213878752055731
Zm00001eb050860,1.9525848150955507,-0.8959427630520301,-0.3307171488264662,-0.2860150991208834,-0.4399098040961714
Zm00001eb331080,1.9720520062874631,-0.7941443688501358,-0.3306853654633779,-0.3458293710120994,-0.501392900961849
Zm00001eb019780,1.9488254006738086,-0.8567774262856369,-0.15917949334961426,-0.4049847208494815,-0.527883760189075
Zm00001eb164530,1.9434680980356562,-0.8848934197015091,-0.1704879054355532,-0.5348183931640202,-0.35326837973457487
Zm00001eb062170,1.974919760968283,-0.7842791232201539,-0.37503516151069866,-0.4831043842308994,-0.3325010920065305
Zm00001eb070520,1.777745006736935,-0.0879458057271572,-0.9957341420342043,-0.894544443339403,0.20047938436383084
Zm00001eb116410,1.8193899581902016,-0.2625055913813052,-1.0038581709172676,-0.7562321722703936,0.20320597637876636
Zm00001eb031560,1.865443697991749,-0.3362524812026535,-0.8258934595126538,-0.8403411153000647,0.13704335802362197
Zm00001eb168120,1.7221077459760656,-0.6566433078808515,-1.099432016642801,-0.42677110931836754,0.46073868786595396
Zm00001eb150840,1.7828780912619833,-0.6039259709767876,-0.8874974043461974,-0.7054123429543551,0.4139576270153524
Zm00001eb005020,1.8393830548543468,-0.5445194640172613,-0.9922044890465597,-0.5320509167184703,0.22939181492794392
Zm00001eb120590,1.8905597114281472,-0.5676104324354787,-0.8730916493081972,-0.5714309093025403,0.12157327961806869
Zm00001eb004670,1.8300889604540158,-0.8227632122032521,-0.7100699787667536,-0.6098519205845347,0.3125961511005249
Zm00001eb360260,1.874300174604365,-0.8179417613123751,-0.7035752496465957,-0.5374483767927959,0.1846652131474021
