"gene","cluster","weight"
"Zm00001eb023820","Bundle_sheath",0.810937893557843
"Zm00001eb294420","Bundle_sheath",0.81037417730594
"Zm00001eb351330","Bundle_sheath",0.804071207955741
"Zm00001eb157400","Bundle_sheath",0.801409141766271
"Zm00001eb327330","Bundle_sheath",0.79391520497609
"Zm00001eb260960","Bundle_sheath",0.792613244920331
"Zm00001eb352030","Bundle_sheath",0.789578841377618
"Zm00001eb148830","Bundle_sheath",0.789271051232262
"Zm00001eb036530","Bundle_sheath",0.787540066607479
"Zm00001eb154510","Bundle_sheath",0.786467326548731
"Zm00001eb352180","Bundle_sheath",0.786395306393806
"Zm00001eb174930","Bundle_sheath",0.786003467923789
"Zm00001eb260880","Bundle_sheath",0.785301427719929
"Zm00001eb282790","Bundle_sheath",0.784869366335773
"Zm00001eb433350","Bundle_sheath",0.783603996925076
"Zm00001eb373790","Bundle_sheath",0.78315148169783
"Zm00001eb070950","Bundle_sheath",0.783083599947838
"Zm00001eb301010","Bundle_sheath",0.782607713153161
"Zm00001eb224520","Bundle_sheath",0.782287478020306
"Zm00001eb402880","Bundle_sheath",0.781488497913827
"Zm00001eb213080","Bundle_sheath",0.780551759536642
"Zm00001eb320980","Bundle_sheath",0.779889197929488
"Zm00001eb003180","Bundle_sheath",0.778126267200432
"Zm00001eb057690","Bundle_sheath",0.777269855560736
"Zm00001eb229690","Bundle_sheath",0.776877600272956
"Zm00001eb106150","Bundle_sheath",0.776307155391448
"Zm00001eb098510","Bundle_sheath",0.775186511062641
"Zm00001eb291240","Bundle_sheath",0.775063281868249
"Zm00001eb393200","Bundle_sheath",0.774237595652233
"Zm00001eb176000","Bundle_sheath",0.774041095849626
"Zm00001eb109030","Bundle_sheath",0.773919623244378
"Zm00001eb034830","Bundle_sheath",0.772953141942526
"Zm00001eb252830","Bundle_sheath",0.772364922760691
"Zm00001eb335620","Bundle_sheath",0.772078181912372
"Zm00001eb369660","Bundle_sheath",0.7707967054724
"Zm00001eb202910","Bundle_sheath",0.770436306970801
"Zm00001eb361700","Bundle_sheath",0.770422343575737
"Zm00001eb086050","Bundle_sheath",0.770261571009967
"Zm00001eb241550","Bundle_sheath",0.770235430581681
"Zm00001eb124750","Bundle_sheath",0.769989537874146
"Zm00001eb219320","Bundle_sheath",0.769843800520546
"Zm00001eb173790","Bundle_sheath",0.769477060434407
"Zm00001eb160340","Bundle_sheath",0.769086323554193
"Zm00001eb212030","Bundle_sheath",0.76900614568019
"Zm00001eb303080","Bundle_sheath",0.767953115147098
"Zm00001eb109610","Bundle_sheath",0.766958439100841
"Zm00001eb226990","Bundle_sheath",0.765811803207234
"Zm00001eb399010","Bundle_sheath",0.765742760322045
