"section_id","n_spots","n_shared_genes","n_HVGs","n_markers"
"DQ01_S0",397,22454,2875,1071
"DQ01_S1",331,22454,2875,1071
"DQ01_S2",289,22454,2875,1071
"DQ01_S3",366,22454,2875,1071
"DQ02_S1",430,22454,2875,1071
"DQ02_S3",396,22454,2875,1071
"DQ02_S4",381,22454,2875,1071
"DQ02_S7",400,22454,2875,1071
"DQ03_S1",267,22454,2875,1071
"DQ03_S2",339,22454,2875,1071
"DQ03_S3",372,22454,2875,1071
"DQ03_S4",334,22454,2875,1071
"DQ04_S1",301,22454,2875,1071
"DQ04_S2",391,22454,2875,1071
"DQ04_S3",406,22454,2875,1071
"DQ04_S4",375,22454,2875,1071
"DQ06_S1",396,22454,2875,1071
"DQ06_S4",362,22454,2875,1071
"DQ06_S5",298,22454,2875,1071
"DQ06_S8",419,22454,2875,1071
"DQ07_S1",468,22454,2875,1071
"DQ07_S2",494,22454,2875,1071
"DQ07_S5",451,22454,2875,1071
"DQ07_S8",371,22454,2875,1071
"DQ08_S1",460,22454,2875,1071
"DQ08_S2",277,22454,2875,1071
"DQ08_S3",410,22454,2875,1071
"DQ08_S6",444,22454,2875,1071
"UL01_S1",266,22454,2875,1071
"UL01_S2",321,22454,2875,1071
"UL01_S3",255,22454,2875,1071
"UL01_S4",258,22454,2875,1071
"UL02_S1",205,22454,2875,1071
"UL02_S3",315,22454,2875,1071
"UL02_S5",291,22454,2875,1071
"UL04_S1",292,22454,2875,1071
"UL04_S5",247,22454,2875,1071
"UL04_S9",274,22454,2875,1071
"VR01_S1",459,22454,2875,1071
"VR01_S2",506,22454,2875,1071
"VR01_S3",460,22454,2875,1071
"VR01_S4",413,22454,2875,1071
"VR02_S1",355,22454,2875,1071
"VR02_S2",339,22454,2875,1071
"VR02_S3",381,22454,2875,1071
"VR02_S4",374,22454,2875,1071
"VR03_S1",392,22454,2875,1071
"VR03_S2",414,22454,2875,1071
"VR03_S3",397,22454,2875,1071
"VR03_S4",438,22454,2875,1071
"VR04_S1",517,22454,2875,1071
"VR04_S2",460,22454,2875,1071
"VR04_S3",496,22454,2875,1071
"VR04_S5",340,22454,2875,1071
