"group_id","biological_replicate","domain","spot_count","library_size","TMM_normalization_factor","effective_library_size","PC1","PC2"
"UL01__SAM","UL01","SAM",5,211808,1.06606218508776,225800.499299069,-69.0537832801219,-86.9250138928991
"UL01__P1_P2","UL01","P1_P2",33,1438895,0.967590863758011,1392261.65590708,2.86515655058224,-74.6424199172899
"UL01__P3","UL01","P3",46,2104011,0.952338357359866,2003730.37960709,18.6136990838075,-59.3778996777088
"UL01__P4","UL01","P4",79,3871239,0.933404971352547,3613433.72789386,27.9960044684658,-48.5345240635654
"UL01__P5","UL01","P5",170,7558368,0.921836416142273,6967578.86900444,49.2147916472344,-17.1296466850239
"UL01__coleoptile","UL01","coleoptile",718,16863443,0.745045518780234,12564032.6383559,99.9880532433492,55.7244670638958
"UL01__co_v","UL01","co_v",49,1975520,0.909254937342046,1796251.31381796,69.9472454625413,56.7085000884222
"UL02__SAM","UL02","SAM",3,67071,1.25429186310134,84126.6095500698,-176.798471314051,-40.5817340501917
"UL02__P1_P2","UL02","P1_P2",15,416184,1.06761656053026,444324.930627725,-28.7348418542459,-68.0809315036854
"UL02__P3","UL02","P3",19,687374,1.0136879093359,696782.712991856,-3.86988738535324,-59.0099016769199
"UL02__P4","UL02","P4",51,2100091,0.958506098118042,2012950.03010282,24.6106592970732,-39.8804906170574
"UL02__P5","UL02","P5",126,5698681,0.890002120832598,5071838.17594843,49.9981287154392,-6.22939329682489
"UL02__coleoptile","UL02","coleoptile",566,14637367,0.713978148702664,10450760.1925415,117.184287316388,87.0337725233195
"UL02__co_v","UL02","co_v",31,1354354,0.911300921360658,1234224.04804849,89.4679998815023,95.2336676210087
"UL04__SAM","UL04","SAM",3,83901,1.22080809877914,102427.020295669,-162.388018769248,-70.5670639636364
"UL04__P1_P2","UL04","P1_P2",12,487954,1.05772011349176,516118.760258756,-26.1154333147942,-89.8385931881662
"UL04__P3","UL04","P3",22,902177,1.05412593960983,951008.177819375,7.04917758177458,-71.5540653646663
"UL04__P4","UL04","P4",51,2006081,1.03220973419695,2070696.33578756,30.1873484780343,-52.1921965486081
"UL04__P5","UL04","P5",99,3024812,1.0350598333031,3130861.40449323,49.7423080417762,-24.7946269520507
"UL04__coleoptile","UL04","coleoptile",597,13760019,0.781792145611251,10757474.7776616,96.2174532004433,45.9708282869498
"UL04__co_v","UL04","co_v",29,1130432,0.981006280087517,1108960.89121189,50.1777308365723,33.8806472287347
"VR01__SAM","VR01","SAM",9,142102,1.13354459345411,161078.953819015,-109.096073735536,-95.5695272112094
"VR01__P1_P2","VR01","P1_P2",60,1390534,1.01358207518892,1409420.33734076,13.689179968445,-75.3691836393421
"VR01__P3","VR01","P3",75,2060538,0.970248017172973,1999232.90880956,32.0210813027231,-54.4338675057061
"VR01__P4","VR01","P4",191,4808511,0.931614831019851,4479680.1627221,50.7748534787517,-30.453152018032
"VR01__P5","VR01","P5",356,8955366,0.870591127781026,7796462.18563185,72.7332134045143,7.9968757729872
"VR01__coleoptile","VR01","coleoptile",1090,21059418,0.647659807123293,13639338.6000088,128.836347278,99.7841430840144
"VR01__co_v","VR01","co_v",57,1740375,0.866219070169776,1507546.01424672,98.0755549665344,106.83419990144
"VR02__SAM","VR02","SAM",4,49634,1.29316321292834,64184.8629104853,-260.793590786468,-24.5685221337447
"VR02__P1_P2","VR02","P1_P2",44,893016,1.0166096598584,907848.692008111,-3.15819102719941,-81.1475242539186
"VR02__P3","VR02","P3",73,1699435,1.02226130689423,1737266.6440818,28.2080425524125,-59.4895425886493
"VR02__P4","VR02","P4",148,3392698,0.996285078991145,3380094.3949231,43.1372020089529,-38.3858289174882
"VR02__P5","VR02","P5",245,6058041,0.91242144084616,5527486.49792511,69.933810703747,1.8508645538666
"VR02__coleoptile","VR02","coleoptile",901,20359412,0.709308545566426,14441104.9143076,134.308595592529,100.979474765969
