gene_id,level,gene_name,tf_family
Zm00001eb004190,1,e2f19,E2F/DP
Zm00001eb015020,1,ereb26,AP2
Zm00001eb015320,1,wrky32,WRKY
Zm00001eb029300,1,rs2,MYB
Zm00001eb031670,1,hb119,HD-ZIP
Zm00001eb035180,1,nactf114,NAC
Zm00001eb040220,1,srs1,SRS
Zm00001eb041860,1,myb146,MYB_related
Zm00001eb050860,1,cpp6,CPP
Zm00001eb051340,1,abi30,B3
Zm00001eb051910,1,kip1,TALE
Zm00001eb055920,1,kn1,TALE
Zm00001eb062170,1,nactf49,NAC
Zm00001eb067270,1,arftf4,ARF
Zm00001eb071920,1,glk36,G2-like
Zm00001eb073790,1,glk37,G2-like
Zm00001eb074810,1,myb104,MYB
Zm00001eb075520,1,yab1,YABBY
Zm00001eb075640,1,myb54,MYB
Zm00001eb079950,1,wrky72,WRKY
Zm00001eb082590,1,zhd15,ZF-HD
Zm00001eb094740,1,bbr2,BBR-BPC
Zm00001eb103060,1,tcptf19,TCP
Zm00001eb106720,1,bhlh80,bHLH
Zm00001eb117820,1,gn1,TALE
Zm00001eb130180,1,lg3,TALE
Zm00001eb144270,1,abi31,B3
Zm00001eb152940,1,arftf11,ARF
Zm00001eb154380,1,mads36,M-type_MADS
Zm00001eb160080,1,hsftf3,HSF
Zm00001eb167310,1,pco136360,bHLH
Zm00001eb169410,1,sbp3 (GRASSIUS),SBP
Zm00001eb172450,1,cca1,MYB_related
Zm00001eb176440,1,gbptf20,GeBP
Zm00001eb176740,1,wrky122,WRKY
Zm00001eb187880,1,glk29,G2-like
Zm00001eb197040,1,bzip79,bZIP
Zm00001eb202660,1,srs3,SRS
Zm00001eb204190,1,c3h43,C3H
Zm00001eb206760,1,knox7,TALE
Zm00001eb207760,1,whirly2,Whirly
Zm00001eb216500,1,gbptf5,GeBP
Zm00001eb220660,1,yab9,YABBY
Zm00001eb222520,1,mybr90,MYB_related
Zm00001eb227390,1,arr5,ARR-B
Zm00001eb238060,1,hmg9,HMG_box
Zm00001eb239380,1,hsftf18,HSF
Zm00001eb243910,1,rgh3,C3H
Zm00001eb244670,1,pap28,E2F/DP
Zm00001eb250620,1,grftf13,GRF
Zm00001eb251820,1,grftf6,GRF
Zm00001eb264150,1,gbptf15,GeBP
Zm00001eb264380,1,nactf119,NAC
Zm00001eb264910,1,knox5,TALE
Zm00001eb271970,1,mybr98,MYB_related
Zm00001eb274800,1,sbp3,SBP
Zm00001eb275690,1,arid8,ARID
Zm00001eb279010,1,gbptf10,GeBP
Zm00001eb284130,1,bhlh124,bHLH
Zm00001eb287060,1,srs6,SRS
Zm00001eb291470,1,ca5p10,NF-YC
Zm00001eb291720,1,ereb42,ERF
Zm00001eb299420,1,rs1,TALE
Zm00001eb303220,1,embp1,bZIP
Zm00001eb319530,1,srs7,SRS
Zm00001eb324300,1,abi22,B3
Zm00001eb334160,1,nactf118,NAC
Zm00001eb344540,1,gata26,GATA
Zm00001eb349730,1,sbp11,SBP
Zm00001eb354880,1,lg4,TALE
Zm00001eb358680,1,wrky47,WRKY
Zm00001eb360510,1,myb24,MYB
Zm00001eb361390,1,abi19,B3
Zm00001eb361790,1,mads43,MIKC_MADS
Zm00001eb362740,1,lrp1,SRS
Zm00001eb375660,1,bhlh125,bHLH
Zm00001eb400120,1,zmm8,MIKC_MADS
Zm00001eb403140,1,e2f6,E2F/DP
Zm00001eb413890,1,abi51,B3
Zm00001eb421120,1,camta5,CAMTA
Zm00001eb424870,1,nactf15,NAC
Zm00001eb425230,1,thx25,Trihelix
Zm00001eb428800,1,hsftf20,HSF
Zm00001eb433020,1,arftf29,ARF
Zm00001eb005740,2,ereb130,AP2
Zm00001eb006890,2,camta4,CAMTA
Zm00001eb023870,2,thx4,Trihelix
Zm00001eb030510,2,abi46,B3
Zm00001eb032000,2,ca2p5,NF-YA
Zm00001eb041290,2,zhd5,ZF-HD
Zm00001eb042980,2,glk38,G2-like
Zm00001eb051330,2,abi4,B3
Zm00001eb053870,2,c3h17,C3H
Zm00001eb057820,2,wrky30,WRKY
Zm00001eb060670,2,hsftf11,HSF
Zm00001eb062760,2,gras40,GRAS
Zm00001eb063930,2,cchh5,C2H2
Zm00001eb073900,2,nfd102,HMG_box
Zm00001eb073910,2,shai1,Nin-like
Zm00001eb092810,2,ddt1,non_TF
Zm00001eb093650,2,nactf126,NAC
Zm00001eb104350,2,hmg103,HMG_box
Zm00001eb106620,2,ms32,bHLH
Zm00001eb112080,2,GRMZM2G033962,Pseudo_ARR-B
Zm00001eb118970,2,arftf7,ARF
Zm00001eb138370,2,zhd21,ZF-HD
Zm00001eb145420,2,ereb52,ERF
Zm00001eb150830,2,ereb158,ERF
Zm00001eb158680,2,hb46,HD-ZIP
Zm00001eb161000,2,abi48,B3
Zm00001eb164530,2,gras26,GRAS
Zm00001eb198620,2,hsftf7,HSF
Zm00001eb199140,2,mbd121,MBD
Zm00001eb199530,2,wrky87,WRKY
Zm00001eb199880,2,ub3,SBP
Zm00001eb199970,2,sbp7,SBP
Zm00001eb202570,2,ereb111,ERF
Zm00001eb227100,2,arftf35,ARF
Zm00001eb227180,2,sbp25,SBP
Zm00001eb232050,2,sbp27,SBP
Zm00001eb235640,2,ereb46,ERF
Zm00001eb243260,2,thx42,Trihelix
Zm00001eb244380,2,bhlh152,bHLH
Zm00001eb246280,2,abi35,B3
Zm00001eb264780,2,wrky62,WRKY
Zm00001eb269420,2,dbp4,ERF
Zm00001eb278870,2,hb10,HD-ZIP
Zm00001eb280500,2,fea4,bZIP
Zm00001eb295700,2,thx1,Trihelix
Zm00001eb303810,2,pza03344,AP2
Zm00001eb306220,2,glk15,G2-like
Zm00001eb307400,2,myb153,MYB
Zm00001eb309370,2,glk7,G2-like
Zm00001eb312850,2,bhlh87,bHLH
Zm00001eb314810,2,bhlh150,bHLH
Zm00001eb316740,2,tsh4,SBP
Zm00001eb325750,2,gras38,GRAS
Zm00001eb331080,2,eil6,EIL
Zm00001eb331630,2,GRMZM2G005732,Pseudo_ARR-B
Zm00001eb337450,2,c3h47,C3H
Zm00001eb352240,2,bzip96,bZIP
Zm00001eb352570,2,ereb93,ERF
Zm00001eb361590,2,thx6,Trihelix
Zm00001eb361750,2,abi20,B3
Zm00001eb370810,2,arftf26,ARF
Zm00001eb378270,2,bbr4,BBR-BPC
