gene_id,gene_name,tf_family,archived_level
Zm00001eb227240,c3h29,C3H,1
Zm00001eb050860,cpp6,CPP,1
Zm00001eb019780,ca2p3,NF-YA,1
Zm00001eb164530,gras26,GRAS,1
Zm00001eb055700,gras65,GRAS,1
Zm00001eb269420,dbp4,ERF,1
Zm00001eb325760,wrky1,WRKY,1
Zm00001eb202570,ereb111,ERF,1
Zm00001eb380990,col6,CO-like,1
Zm00001eb150830,ereb158,ERF,1
Zm00001eb361590,thx6,Trihelix,1
Zm00001eb307400,myb153,MYB,1
Zm00001eb314810,bhlh150,bHLH,1
Zm00001eb203350,gbptf14,GeBP,1
Zm00001eb424870,nactf15,NAC,1
Zm00001eb051340,abi30,B3,1
Zm00001eb264780,wrky62,WRKY,1
Zm00001eb062170,nactf49,NAC,1
Zm00001eb331080,eil6,EIL,1
Zm00001eb162130,c3h22,C3H,1
Zm00001eb353320,hox1,HB-PHD,1
Zm00001eb386370,myb87,MYB,1
Zm00001eb235640,ereb46,ERF,1
Zm00001eb388280,arr4,ARR-B,1
Zm00001eb040220,srs1,SRS,1
Zm00001eb289490,bhlh118,bHLH,1
Zm00001eb079950,wrky72,WRKY,1
Zm00001eb041860,myb146,MYB_related,1
Zm00001eb284130,bhlh124,bHLH,1
Zm00001eb334160,nactf118,NAC,1
Zm00001eb222520,mybr90,MYB_related,1
Zm00001eb360510,myb24,MYB,1
Zm00001eb073910,shai1,Nin-like,1
Zm00001eb244670,pap28,E2F/DP,1
Zm00001eb144270,abi31,B3,1
Zm00001eb295700,thx1,Trihelix,1
Zm00001eb160080,hsftf3,HSF,1
Zm00001eb216500,gbptf5,GeBP,1
Zm00001eb264150,gbptf15,GeBP,1
Zm00001eb358680,wrky47,WRKY,1
Zm00001eb243260,thx42,Trihelix,1
Zm00001eb430300,grftf5,GRF,1
Zm00001eb373300,bzip100,bZIP,1
Zm00001eb198620,hsftf7,HSF,1
Zm00001eb311020,gpm18,C3H,1
Zm00001eb309600,hb55,HB-other,1
Zm00001eb093650,nactf126,NAC,1
Zm00001eb358260,c3h46,C3H,1
Zm00001eb413100,ca5p5,NF-YC,1
Zm00001eb015020,ereb26,AP2,1
Zm00001eb075640,myb54,MYB,1
Zm00001eb082590,zhd15,ZF-HD,1
Zm00001eb354880,lg4,TALE,1
Zm00001eb055920,kn1,TALE,1
Zm00001eb154380,mads36,M-type_MADS,1
Zm00001eb102260,bhlh121,bHLH,1
Zm00001eb104790,grftf2,GRF,1
Zm00001eb399030,mybr54,MYB_related,1
Zm00001eb197040,bzip79,bZIP,1
Zm00001eb400120,zmm8,MIKC_MADS,1
Zm00001eb071920,glk36,G2-like,1
Zm00001eb344540,gata26,GATA,1
Zm00001eb172450,cca1,MYB_related,1
Zm00001eb117820,gn1,TALE,1
Zm00001eb035180,nactf114,NAC,1
Zm00001eb264380,nactf119,NAC,1
Zm00001eb299420,rs1,TALE,1
Zm00001eb403140,e2f6,E2F/DP,1
Zm00001eb103060,tcptf19,TCP,1
Zm00001eb421120,camta5,CAMTA,1
Zm00001eb291720,ereb42,ERF,1
Zm00001eb130180,lg3,TALE,1
Zm00001eb202660,srs3,SRS,1
Zm00001eb220660,yab9,YABBY,1
Zm00001eb264910,knox5,TALE,1
Zm00001eb251820,grftf6,GRF,1
Zm00001eb402580,nactf39,NAC,1
Zm00001eb227390,arr5,ARR-B,1
Zm00001eb279010,gbptf10,GeBP,1
Zm00001eb375660,bhlh125,bHLH,1
Zm00001eb015320,wrky32,WRKY,1
Zm00001eb204190,c3h43,C3H,1
Zm00001eb062760,gras40,GRAS,1
Zm00001eb176440,gbptf20,GeBP,1
Zm00001eb076640,ras18A1,NAC,1
Zm00001eb167310,pco136360,bHLH,1
Zm00001eb228170,bzip83,bZIP,1
Zm00001eb267130,cchh4,C2H2,1
Zm00001eb149810,nactf70,NAC,1
Zm00001eb023870,thx4,Trihelix,1
Zm00001eb057820,wrky30,WRKY,1
Zm00001eb184050,fea2,non_TF,2
Zm00001eb144290,arr6,ARR-B,2
Zm00001eb273580,myb56,MYB,2
Zm00001eb168120,zhd1,ZF-HD,2
Zm00001eb067340,GRMZM2G046968,C3H,2
Zm00001eb320340,mterf25,mTERF,2
Zm00001eb148320,myb15,MYB,2
Zm00001eb199530,wrky87,WRKY,2
Zm00001eb357490,smh1,MYB_related,2
Zm00001eb419680,tcptf40,TCP,2
Zm00001eb031560,bhlh163,bHLH,2
Zm00001eb070520,bhlh148,bHLH,2
Zm00001eb116410,bhlh73,bHLH,2
Zm00001eb294030,hdt103,C2H2,2
Zm00001eb150840,ereb147,ERF,2
Zm00001eb004670,hsftf13,HSF,2
Zm00001eb360260,nactf134,NAC,2
Zm00001eb388300,bhlh69,bHLH,2
Zm00001eb005020,hb64,TALE,2
Zm00001eb120590,ereb103,ERF,2
Zm00001eb406000,wrky63,WRKY,2
Zm00001eb148850,ca3p1,NF-YB,2
Zm00001eb074570,mmp33,C2H2,2
Zm00001eb139160,gata31,GATA,2
Zm00001eb415640,glk55,G2-like,2
Zm00001eb339390,nlp4,Nin-like,2
Zm00001eb142180,ldp1,HB-other,2
Zm00001eb121110,mybr22,MYB_related,2
Zm00001eb362090,gata17,GATA,2
Zm00001eb340550,thx47,Trihelix,2
Zm00001eb092090,bzip23,bZIP,2
Zm00001eb178550,wrky97,WRKY,2
Zm00001eb094740,bbr2,BBR-BPC,2
Zm00001eb296770,tsh1,GATA,2
Zm00001eb355110,phd17,zf-MIZ,2
Zm00001eb379550,nactf117,NAC,2
Zm00001eb317100,mbd108,MBD,2
Zm00001eb388060,arid10,ARID,2
Zm00001eb278870,hb10,HD-ZIP,2
Zm00001eb427580,gata6,GATA,2
Zm00001eb106620,ms32,bHLH,2
Zm00001eb306220,glk15,G2-like,2
Zm00001eb343660,hb29,HB-other,2
Zm00001eb101700,wrky71,WRKY,2
Zm00001eb244380,bhlh152,bHLH,2
Zm00001eb145420,ereb52,ERF,2
Zm00001eb376740,prf5,DBB,2
Zm00001eb030510,abi46,B3,2
Zm00001eb280500,fea4,bZIP,2
Zm00001eb312850,bhlh87,bHLH,2
Zm00001eb427790,thx31,Trihelix,2
Zm00001eb097990,hb131,HB-other,2
Zm00001eb143060,camta3,CAMTA,2
Zm00001eb031670,hb119,HD-ZIP,2
Zm00001eb220000,mybr99,MYB_related,2
Zm00001eb074810,myb104,MYB,2
Zm00001eb053870,c3h17,C3H,2
Zm00001eb429450,gras79,GRAS,2
Zm00001eb313820,arid4,ARID,2
Zm00001eb112080,GRMZM2G033962,Pseudo_ARR-B,2
Zm00001eb100750,bzip123,bZIP,2
Zm00001eb337450,c3h47,C3H,2
Zm00001eb075520,yab1,YABBY,2
Zm00001eb428800,hsftf20,HSF,2
Zm00001eb152940,arftf11,ARF,2
Zm00001eb362740,lrp1,SRS,2
Zm00001eb041290,zhd5,ZF-HD,2
Zm00001eb106790,myb141,MYB,2
Zm00001eb138730,bzip129,bZIP,2
Zm00001eb157860,bzip1,bZIP,2
Zm00001eb274800,sbp3,SBP,2
Zm00001eb169410,sbp3 (GRASSIUS),SBP,2
Zm00001eb060670,hsftf11,HSF,2
Zm00001eb361390,abi19,B3,2
Zm00001eb187880,glk29,G2-like,2
Zm00001eb029300,rs2,MYB,2
Zm00001eb303220,embp1,bZIP,2
Zm00001eb100610,gbptf8,GeBP,2
Zm00001eb067270,arftf4,ARF,2
Zm00001eb250620,grftf13,GRF,2
Zm00001eb004190,e2f19,E2F/DP,2
Zm00001eb271970,mybr98,MYB_related,2
Zm00001eb308280,cadtfr16,NF-YB,2
Zm00001eb324300,abi22,B3,2
Zm00001eb413890,abi51,B3,2
Zm00001eb073790,glk37,G2-like,2
Zm00001eb074730,ereb6,ERF,2
Zm00001eb239380,hsftf18,HSF,2
Zm00001eb425230,thx25,Trihelix,2
Zm00001eb006890,camta4,CAMTA,2
Zm00001eb425660,nlp9,Nin-like,2
Zm00001eb051910,kip1,TALE,2
Zm00001eb158680,hb46,HD-ZIP,2
Zm00001eb361790,mads43,MIKC_MADS,2
Zm00001eb303810,pza03344,AP2,2
Zm00001eb042240,dbf1,ERF,2
Zm00001eb349730,sbp11,SBP,2
Zm00001eb051330,abi4,B3,2
Zm00001eb227100,arftf35,ARF,2
Zm00001eb138370,zhd21,ZF-HD,3
Zm00001eb325750,gras38,GRAS,3
Zm00001eb233350,thx37,Trihelix,3
Zm00001eb361210,smh3,MYB_related,3
Zm00001eb035370,sbp16,SBP,3
Zm00001eb229950,bhlh129,bHLH,3
Zm00001eb136060,hb25,HD-ZIP,3
Zm00001eb292900,voz1,VOZ,3
Zm00001eb407810,gata7,GATA,3
Zm00001eb143690,vp1,B3,3
Zm00001eb008680,ifa1,YABBY,3
Zm00001eb179440,umc1511,AT_hook,3
Zm00001eb227180,sbp25,SBP,3
Zm00001eb330690,abi32,B3,3
Zm00001eb031310,cpp5,CPP,3
Zm00001eb147970,hb48,HB-other,3
Zm00001eb145150,ig1,LBD,3
Zm00001eb408860,nactf67,NAC,3
Zm00001eb232120,arftf20,ARF,3
Zm00001eb290900,abi45,B3,3
Zm00001eb408640,c3h54,C3H,3
Zm00001eb316800,mybr82,MYB_related,3
Zm00001eb108930,ca2p4,NF-YA,3
Zm00001eb045630,hb69,HD-ZIP,3
Zm00001eb187040,hmg3,HMG_box,3
Zm00001eb243910,rgh3,C3H,3
Zm00001eb238060,hmg9,HMG_box,3
Zm00001eb032000,ca2p5,NF-YA,3
Zm00001eb331630,GRMZM2G005732,Pseudo_ARR-B,3
Zm00001eb047760,hsftf24,HSF,3
Zm00001eb183700,nactf101,NAC,3
Zm00001eb058850,ereb184,AP2,3
Zm00001eb106720,bhlh80,bHLH,3
Zm00001eb389900,ca5p7,NF-YC,3
Zm00001eb284410,nlp8,Nin-like,3
Zm00001eb159750,bhlh166,bHLH,3
Zm00001eb176740,wrky122,WRKY,3
Zm00001eb161000,abi48,B3,3
Zm00001eb005740,ereb130,AP2,3
Zm00001eb136750,gl6,non_TF,3
Zm00001eb092810,ddt1,non_TF,3
Zm00001eb199880,ub3,SBP,3
Zm00001eb331880,dlf1,bZIP,3
Zm00001eb073900,nfd102,HMG_box,3
Zm00001eb408800,arftf28,ARF,3
Zm00001eb053460,c3h51,C3H,3
Zm00001eb104350,hmg103,HMG_box,3
Zm00001eb258240,bhlh168,bHLH,3
Zm00001eb207760,whirly2,Whirly,3
Zm00001eb091300,myb64,MYB,3
Zm00001eb206760,knox7,TALE,3
Zm00001eb316740,tsh4,SBP,3
Zm00001eb246280,abi35,B3,3
Zm00001eb288890,mybr13,MYB_related,3
Zm00001eb352570,ereb93,ERF,3
Zm00001eb076420,arftf5,ARF,3
Zm00001eb128000,nactf66,NAC,3
Zm00001eb428890,glk41,G2-like,3
Zm00001eb060810,bzip41,bZIP,3
Zm00001eb215910,chb101a,MYB_related,3
Zm00001eb042020,wrky25,WRKY,3
Zm00001eb259870,abi49,B3,3
Zm00001eb314500,hb11,HD-ZIP,3
Zm00001eb067160,c3h16,C3H,3
Zm00001eb172100,mybr83,MYB_related,3
Zm00001eb146420,rz538b,C2H2,3
Zm00001eb340790,gata2,GATA,3
Zm00001eb100770,hsftf1,HSF,3
Zm00001eb355240,rap2,AP2,3
Zm00001eb126430,fea3,non_TF,3
Zm00001eb275820,bhlh142,bHLH,3
Zm00001eb278470,bhlh5,bHLH,3
Zm00001eb403880,nactf57,NAC,3
Zm00001eb356490,hdt102,C2H2,3
Zm00001eb416530,mybr26,MYB_related,3
Zm00001eb292830,arftf23,ARF,3
Zm00001eb333750,c3h42,C3H,3
Zm00001eb402950,gata10,GATA,3
Zm00001eb234690,myb50,MYB,3
Zm00001eb118760,wrky93,WRKY,3
Zm00001eb369560,ereb83,ERF,3
Zm00001eb075080,thx32,Trihelix,3
Zm00001eb301520,bhlh39,bHLH,3
Zm00001eb389540,col13,CO-like,3
Zm00001eb420370,mbd113,MBD,3
Zm00001eb049650,mterf3,mTERF,3
Zm00001eb037670,hb129,HD-ZIP,3
Zm00001eb135750,cpp10,CPP,3
Zm00001eb203940,wrky8,WRKY,3
Zm00001eb089380,e2f5,E2F/DP,3
Zm00001eb197620,ca5p9,NF-YC,3
Zm00001eb118970,arftf7,ARF,4
Zm00001eb429330,r1,bHLH,4
Zm00001eb051370,abi25,B3,4
Zm00001eb123510,smh5,MYB_related,4
Zm00001eb369280,obf4,bZIP,4
Zm00001eb134600,mbd105,MBD,4
Zm00001eb380460,conz1,CO-like,4
Zm00001eb181960,mybr38,MYB_related,4
Zm00001eb289860,nfy2,NF-YB,4
Zm00001eb373390,gbptf4,GeBP,4
Zm00001eb092480,ns1,WOX,4
Zm00001eb352240,bzip96,bZIP,4
Zm00001eb229050,arid7,ARID,4
Zm00001eb291470,ca5p10,NF-YC,4
Zm00001eb008010,bnlg1953,C2H2,4
Zm00001eb400130,drl2,YABBY,4
Zm00001eb399440,ereb161,AP2,4
Zm00001eb179960,zhd7,ZF-HD,4
Zm00001eb041450,myb78,MYB,4
Zm00001eb312160,myb159,MYB,4
Zm00001eb274340,ca5p3,NF-YC,4
Zm00001eb019930,lbd5,LBD,4
Zm00001eb430240,zfl1,LFY,4
Zm00001eb042980,glk38,G2-like,4
Zm00001eb145660,zmm16,MIKC_MADS,4
Zm00001eb043940,yab10,YABBY,4
Zm00001eb186770,gras80,GRAS,4
Zm00001eb062460,ts6,AP2,4
Zm00001eb110960,bbx7,CO-like,4
Zm00001eb237460,myb157,MYB,4
Zm00001eb316260,ca5p16,NF-YC,4
Zm00001eb032060,mbd106,MBD,4
Zm00001eb033590,mbd119,MBD,4
Zm00001eb102090,mbd111,MBD,4
Zm00001eb199140,mbd121,MBD,4
Zm00001eb405850,lbd44,LBD,4
Zm00001eb399930,nactf102,NAC,4
Zm00001eb361750,abi20,B3,4
Zm00001eb433020,arftf29,ARF,4
Zm00001eb404260,rld1,HD-ZIP,4
Zm00001eb252640,arid5,ARID,4
Zm00001eb024680,ocl4,HD-ZIP,4
Zm00001eb320870,hmg13,HMG_box,4
Zm00001eb082150,abi17,ARF,4
Zm00001eb250190,Zm00001eb250190,non_TF,4
Zm00001eb360340,e2f9,E2F/DP,4
Zm00001eb209480,bhlh128,bHLH,4
Zm00001eb284250,c3h39,C3H,4
Zm00001eb006360,abi7,B3,4
Zm00001eb312620,zhd2,ZF-HD,4
Zm00001eb143110,sbp22,SBP,4
Zm00001eb101920,sbp23,SBP,4
Zm00001eb416980,hb18,HD-ZIP,4
Zm00001eb309370,glk7,G2-like,4
Zm00001eb232050,sbp27,SBP,4
Zm00001eb275690,arid8,ARID,4
Zm00001eb403770,bhlh131,bHLH,4
Zm00001eb332590,bzip72,bZIP,4
Zm00001eb036170,bbr1,BBR-BPC,4
Zm00001eb057410,hxa102,MYB_related,4
Zm00001eb301280,hsftf4,HSF,4
Zm00001eb385620,hb87,HB-other,4
Zm00001eb071190,ereb97,ERF,4
Zm00001eb079510,mybr93,MYB_related,4
Zm00001eb215870,gras55,GRAS,4
Zm00001eb349860,mterf27,mTERF,4
Zm00001eb429870,ereb2,ERF,4
Zm00001eb432090,ereb156,ERF,4
Zm00001eb033910,ca5p13,NF-YC,4
Zm00001eb021750,bzip78,bZIP,4
Zm00001eb376730,dbb11,DBB,4
Zm00001eb370850,voz5,VOZ,4
Zm00001eb416370,mybr84,MYB_related,4
Zm00001eb107920,wrky116,WRKY,4
Zm00001eb363140,gras2,GRAS,4
Zm00001eb248560,myb26,MYB,4
Zm00001eb388050,bzip60,bZIP,4
Zm00001eb320200,grftf3,GRF,4
Zm00001eb330680,bzip58,bZIP,4
Zm00001eb085420,camta1,CAMTA,4
Zm00001eb128930,dof8,Dof,4
Zm00001eb244400,thx24,Trihelix,4
Zm00001eb420440,bhlh108,bHLH,5
Zm00001eb250280,glk20,G2-like,5
Zm00001eb001670,zag6,MIKC_MADS,5
Zm00001eb253150,col5,CO-like,5
Zm00001eb335690,mybr21,MYB,5
Zm00001eb427380,mybr113,MYB,5
Zm00001eb189840,bzip97,bZIP,5
Zm00001eb321680,camta2,CAMTA,5
Zm00001eb214850,mybr106,MYB_related,5
Zm00001eb311180,ereb109,ERF,5
Zm00001eb372960,mads74,M-type_MADS,5
Zm00001eb152350,tcptf30,TCP,5
Zm00001eb133000,arftf8,ARF,5
Zm00001eb371020,hox4,HB-PHD,5
Zm00001eb153100,hox3,HB-PHD,5
Zm00001eb151240,mrpi2,C2H2,5
Zm00001eb193790,tu1,MIKC_MADS,5
Zm00001eb001460,nactf78,NAC,5
Zm00001eb363810,arftf25,ARF,5
Zm00001eb041850,hmga102,AT_hook,5
Zm00001eb198700,nfd106,HMG_box,5
Zm00001eb370810,arftf26,ARF,5
Zm00001eb066770,thx35,Trihelix,5
Zm00001eb171720,ocl5a,HD-ZIP,5
Zm00001eb058480,dof25,Dof,5
Zm00001eb122470,gl13,non_TF,5
Zm00001eb185110,nactf17,NAC,5
Zm00001eb036990,bhlh173,bHLH,5
Zm00001eb373670,grftf12,GRF,5
Zm00001eb199940,pza02421,AT_hook,5
Zm00001eb256730,grf9,GRF,5
Zm00001eb249730,IDP7496,MYB_related,5
Zm00001eb255670,mads73,MIKC_MADS,5
Zm00001eb000690,rld2,HD-ZIP,5
Zm00001eb059460,bhlh47,bHLH,5
Zm00001eb378820,si606013h03,GRF,5
Zm00001eb188950,arid3,ARID,5
Zm00001eb216060,zhd4,ZF-HD,5
Zm00001eb095290,bzip86,bZIP,5
Zm00001eb331250,bzip92,bZIP,5
Zm00001eb208830,bzip71,bZIP,5
Zm00001eb284910,mybr62,MYB,5
Zm00001eb353470,gata32,GATA,5
Zm00001eb113220,bhlh96,bHLH,5
Zm00001eb286490,wrky83,WRKY,5
Zm00001eb124790,mads54,M-type_MADS,5
Zm00001eb135400,wrky110,WRKY,5
Zm00001eb288060,bzip34,bZIP,5
Zm00001eb055990,bhlh27,bHLH,5
Zm00001eb246440,mterf17,mTERF,5
Zm00001eb145040,mads53,M-type_MADS,5
Zm00001eb300940,cchh7,non_TF,5
Zm00001eb095690,myb139,MYB,5
Zm00001eb352580,ereb92,ERF,5
Zm00001eb227830,dbb5,DBB,5
Zm00001eb255490,bhlh161,bHLH,5
Zm00001eb245040,myb126,MYB,5
Zm00001eb249290,ereb195,ERF,5
Zm00001eb127850,c3h35,C3H,5
Zm00001eb382780,mads47,M-type_MADS,5
Zm00001eb051900,hb33,HB-other,5
Zm00001eb369190,myb74,MYB,5
Zm00001eb073130,gras52,GRAS,6
Zm00001eb194220,ereb17,ERF,6
Zm00001eb381600,c3h5,C3H,6
Zm00001eb035030,ub2,SBP,6
Zm00001eb095110,nactf5,NAC,6
Zm00001eb368850,wrky90,WRKY,6
Zm00001eb237820,wrky2,WRKY,6
